#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
247166101,0.18951295383933,0.147491052140569,0.800918836140888,,0.00272869072504059,0.40504,0.86,1,3374651,3374128,523,0.93,0.946557,2,3374225
319504401,0.13404337597886,0.0616348776741596,0.773353751914242,,0.00240474093566631,0.0316807,0,1,4194654,4194149,505,0.02,0.0259708,1,4194243
220989441,0.140001933550321,0.0755584209200776,0.865237366003063,,0.00429517311630572,0.217685,0.77,1,2868287,2867722,565,0.74,0.76983,2,2867840
241892261,0.0538580963628402,0.0559701466065531,0.702909647779479,,0.00376325032097875,0.444165,0.23,1,3162712,3162253,459,0.2,0.206534,1,3162292
45628101,0.102889709910583,0.0932860016104373,0.702909647779479,,0.00231932345107859,0.769559,0.79,2,464199,463740,459,0.75,0.750174,2,463814
310483061,0.0630358256544215,0.057743933369042,0.667687595712098,,0.00474210286175101,0.413672,0.31,1,4077884,4077448,436,0.27,0.279163,1,4077477
216843041,0.0544123807880924,0.0502669282149331,0.647779479326187,,0.00445889880415522,0.00915188,0,1,2814311,2813888,423,0.01,0.0197576,1,2813914
333601381,0.0599918108457008,0.0624087034560553,0.758039816232772,,0.00490635909298303,0.022965,0.73,1,4364990,4364495,495,0.76,0.777163,2,4364542
328515841,0.0709641402241023,0.0861505936270667,0.759571209800919,,0.00400210095179483,0.94906,0.93,2,4510620,4510124,496,0.9,0.900343,2,4510165
2092701,0.00333643586015502,0.00985018321385118,0.652373660030628,,0.119287374128582,0.0117632,0.12,1,39038,38612,426,0.09,0.0901259,1,38622
233341041,0.0613974261033085,0.0667295706801083,0.76416539050536,,0.00439905351060556,0.760996,1,2,3043531,3043032,499,0.9,0.9136,2,3043066
235825961,0.0599698214498974,0.0510705506347748,0.696784073506891,,0.00491124009210233,0.0326412,0.05,1,3079686,3079231,455,0.02,0.0156896,1,3079275
324597561,0.0723707033004946,0.0970692878248809,0.758039816232772,,0.00458909415022866,0.0286012,0.78,1,4229819,4229324,495,0.73,0.753902,2,4229371
312141621,0.0648304257412417,0.0862279229969742,0.684532924961715,,0.00274460702651656,0.0676108,0.07,1,4101313,4100866,447,0.02,0.0230702,1,4100902
6488781,0.00629772504535313,0.0126846238706542,0.647779479326187,,0.371804802478699,0.000541712,0.1,1,53665,53242,423,0,0.0000000254949,1,53252
165821881,0.0428851982931679,0.0496002284408909,0.666156202143951,,0.00287915282832677,0.273338,0.25,1,2120373,2119938,435,0.25,0.260448,1,2120029
13459501,0.00407107124374677,0.00212061608096172,0.655436447166922,,0.770720371804802,0.255321,0.21,1,76687,76259,428,0.05,0.0500785,1,76269
86310601,0.0715775685415154,0.0881476778132105,0.754977029096478,,0.00429177763865751,0.756749,0.81,2,1167198,1166705,493,0.76,0.770222,2,1166750
270035221,0.0514058996032431,0.0710812987077482,0.67687595712098,,0.00375189669259255,0.0692067,0.03,1,3534135,3533693,442,0.04,0.0424987,1,3533723
16542541,0.0154238171695477,0.015515339947714,0.64624808575804,,0.00764152244729052,0.00528419,0.06,1,90220,89798,422,0,0.00816896,1,89812
41349581,0.0876592098603484,0.0961666980004328,0.712098009188361,,0.0034463037042539,0.00201658,0,1,363289,362824,465,0.04,0.0355283,1,362877
4415441,0.00680221107166079,0.00653204380105778,0.649310872894334,,0.252052672347018,0.000108136,0.08,1,46794,46370,424,0,0.000713235,1,46380
322958761,0.0806732167263476,0.0814854688181731,0.650842266462481,,0.00323907345903675,0.0930277,0.05,1,4248069,4247644,425,0.07,0.0758018,1,4247656
227606161,0.0251579540004587,0.0550707492790278,0.647779479326187,,0.00376929851553962,0.034022,0.03,1,2966596,2966173,423,0.02,0.0157229,1,2966185
32293921,0.0433022385584055,0.057528617187694,0.704441041347626,,0.00379455238054816,0.900724,0.77,2,272125,271665,460,0.77,0.770311,2,271743
56261281,0.275847492166278,0.229405734433917,0.808575803981623,,0.00226754241694343,0.44536,1,1,617289,616761,528,0.86,0.916,2,616864
221938441,0.0680676060182702,0.0865617162863457,0.687595712098009,,0.00377598336215952,0.038272,0,1,2882552,2882103,449,0.08,0.0657232,1,2882138
100044501,0.112195015610575,0.0981841786946944,0.745788667687596,,0.00336269006716679,0.260396,0.09,1,1180484,1179997,487,0.08,0.0808418,1,1180070
6957601,0.00779584741634077,0.0144919318508324,0.649310872894334,,0.398605731990705,0.0149208,0.15,1,55069,54645,424,0,0.000208286,1,54818
30748521,0.0494674206249159,0.0478386795832727,0.650842266462481,,0.00450166060078733,0.0158482,0.09,1,213744,213319,425,0.01,0.0374348,1,213360
101824921,0.0650518362093315,0.145583180507323,0.705972434915773,,0.00280795390639093,0.941393,0.77,2,1200184,1199723,461,0.78,0.776626,2,1199735
10368181,0.00405545119017605,0.00407541741897265,0.655436447166922,,0.595197521301317,0.202127,0.15,1,66586,66158,428,0.07,0.0675447,1,66173
