ack_ewma(ms),classes,freq,,,
83.8171,7.42,4,,,
34.7268,7.44,5,,,
15.0907,7.46,1,,,
7.23629,7.48,4,,,
4.09452,7.5,4,,,
110.238,7.52,6,,,
45.2951,7.54,1,,,
19.318,7.56,0,,,
9.52722,7.58,0,,,
5.01089,7.6,3,,,
3.20435,7.62,1,,,
2.48174,7.64,3,,,
1.5927,7.66,4,,,
7.23708,7.68,4,,,
4.09483,7.7,1,,,
2.83793,7.72,2,,,
2.33517,7.74,1,,,
2.13407,7.76,4,,,
2.05363,7.78,4,,,
1.42145,7.8,0,,,
1.76858,7.82,6,,,
1.30743,7.84,4,,,
1.72297,7.86,1,,,
1.88919,7.88,2,,,
4.35568,7.9,3,,,
2.94227,7.92,4,,,
2.37691,7.94,6,,,
2.15076,7.96,5,,,
2.06031,7.98,0,,,
2.00154,8,2,,,
1.76004,8.02,0,,,
1.90402,8.04,2,,,
3.87972,8.06,2,,,
2.75189,8.08,1,,,
85.1008,8.1,4,,,
35.2403,8.12,3,,,
15.2961,8.14,4,,,
7.31845,8.16,5,,,
4.12738,8.18,5,,,
109.051,8.2,1,,,
44.8204,8.22,2,,,
19.1282,8.24,1,,,
8.85126,8.26,4,,,
5.9405,8.28,2,,,
3.5762,8.3,3,,,
2.63048,8.32,3,,,
2.25219,8.34,2,,,
5.10088,8.36,0,,,
2.49614,8.38,1,,,
8.19846,8.4,3,,,
4.47938,8.42,2,,,
2.99175,8.44,2,,,
2.3967,8.46,2,,,
2.15868,8.48,3,,,
2.06347,8.5,5,,,
2.02539,8.52,3,,,
1.41016,8.54,3,,,
1.76406,8.56,1,,,
1.30562,8.58,2,,,
2.32225,8.6,1,,,
2.1289,8.62,2,,,
2.05156,8.64,2,,,
2.02062,8.66,1,,,
2.00825,8.68,0,,,
1.4033,8.7,1,,,
1.76132,8.72,1,,,
1.90453,8.74,2,,,
1.36181,8.76,1,,,
5.94422,8.78,3,,,
89.9762,8.8,3,,,
37.1905,8.82,4,,,
16.0762,8.84,1,,,
7.63047,8.86,2,,,
3.65219,8.88,0,,,
106.461,8.9,2,,,
43.7844,8.92,1,,,
18.7137,8.94,4,,,
8.6855,8.96,7,,,
4.0742,8.98,1,,,
2.82968,9,2,,,
2.33187,9.02,0,,,
1.53275,9.04,2,,,
6.0131,9.06,1,,,
3.60524,9.08,3,,,
2.0421,9.1,3,,,
6.81684,9.12,3,,,
3.92674,9.14,1,,,
2.17069,9.16,1,,,
2.66828,9.18,4,,,
2.26731,9.2,1,,,
1.50692,9.22,2,,,
5.40277,9.24,6,,,
3.36111,9.26,3,,,
2.21778,9.28,5,,,
2.08711,9.3,0,,,
1.43484,9.32,1,,,
1.77394,9.34,1,,,
1.30958,9.36,2,,,
1.72383,9.38,3,,,
1.88953,9.4,3,,,
1.95581,9.42,1,,,
1.98233,9.44,0,,,
1.90287,9.46,2,,,
1.96115,9.48,1,,,
1.90151,9.5,4,,,
1.36061,9.52,1,,,
4.14424,9.54,3,,,
2.13723,9.56,2,,,
2.05489,9.58,3,,,
1.42196,9.6,7,,,
91.1688,9.62,3,,,
37.6675,9.64,2,,,
16.267,9.66,2,,,
7.7068,9.68,2,,,
3.68272,9.7,3,,,
102.273,9.72,4,,,
41.5092,9.74,3,,,
19.0037,9.76,1,,,
8.80148,9.78,2,,,
4.12059,9.8,1,,,
2.84824,9.82,1,,,
2.33929,9.84,3,,,
1.53572,9.86,3,,,
10.2143,9.88,3,,,
5.28571,9.9,0,,,
2.71429,9.92,0,,,
4.68571,9.94,4,,,
3.07429,9.96,2,,,
2.42971,9.98,1,,,
1.57189,10,1,,,
1.82875,10.02,0,,,
2.5315,10.04,2,,,
2.2126,10.06,2,,,
3.88504,10.08,1,,,
2.75402,10.1,3,,,
2.30161,10.12,5,,,
1.52064,10.14,2,,,
1.80826,10.16,3,,,
1.3233,10.18,0,,,
1.72932,10.2,0,,,
1.89173,10.22,1,,,
1.95669,10.24,2,,,
1.38268,10.26,1,,,
2.35307,10.28,0,,,
2.14123,10.3,2,,,
2.05649,10.32,2,,,
1.4226,10.34,1,,,
1.90762,10.36,1,,,
1.36305,10.38,1,,,
5.34522,10.4,2,,,
3.33809,10.42,1,,,
3.59425,10.44,2,,,
2.6377,10.46,2,,,
2.25508,10.48,4,,,
2.10203,10.5,1,,,
90.2408,10.52,2,,,
37.2963,10.54,0,,,
16.1185,10.56,2,,,
7.64741,10.58,1,,,
3.65896,10.6,2,,,
98.6636,10.62,1,,,
40.0654,10.64,3,,,
20.8262,10.66,3,,,
9.53047,10.68,2,,,
5.01219,10.7,0,,,
3.20487,10.72,5,,,
2.48195,10.74,6,,,
1.59278,10.76,0,,,
6.03711,10.78,5,,,
3.01484,10.8,2,,,
4.20594,10.82,1,,,
5.28238,10.84,2,,,
3.31295,10.86,2,,,
2.52518,10.88,0,,,
2.21007,10.9,4,,,
3.88403,10.92,1,,,
2.75361,10.94,2,,,
2.30144,10.96,3,,,
1.52058,10.98,1,,,
2.40823,11,2,,,
2.16329,11.02,1,,,
2.06532,11.04,0,,,
1.42613,11.06,1,,,
1.77045,11.08,3,,,
2.37812,11.1,2,,,
1.96547,11.12,1,,,
4.06312,11.14,1,,,
2.16205,11.16,0,,,
1.46482,11.18,2,,,
1.18593,11.2,3,,,
88.0744,11.22,5,,,
38.2297,11.24,7,,,
