#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
11008001,0.10109691,0.093624465,0.9291498,0.7626430417128092,0.78328,0.83,2,89964,89505,459,0.73,0.73,2,89515
6081301,0.12348486,0.013410089,0.9473683,0.4189737910668143,0.808641,0.83,2,83198,82730,468,0.75,0.751158,2,82749
160601,0.08818267,0.046648607,0.8906882,0.01199704688076781,0.438202,0.18,1,52576,52136,440,0.38,0.377663,1,52148
5472921,0.056536116,0.007658249,0.9372469,0.6932447397563677,0.857195,0.86,2,91274,90811,463,0.7,0.700001,2,90821
650798321,0.113064036,0.057757035,0.8643725,0.016242155777039496,0.180611,0.09,1,2418450,2418023,427,0.06,0.0583077,1,2418037
712864881,0.1404897,0.0933825,0.8805668,0.0912994230292733,0.381325,0.26,1,2620252,2619817,435,0.08,0.107988,1,2619838
494421,0.10156864,0.0044481205,0.9352227,0.03414544112218531,0.693534,0.62,1,73941,73479,462,0.76,0.754,2,73491
608595341,0.056713335,0.00892666,0.8663967,0.07692875599852345,0.108107,0.18,1,2244476,2244048,428,0.04,0.0399998,1,2244058
344772301,0.06416109,0.04128677,0.8704453,24.250276854928018,0.0295659,0.17,1,1322977,1322547,430,0.07,0.0699999,1,1322557
352511121,0.056969684,0.004389255,0.88866395,24.855112587670728,0.288396,0.33,1,1338837,1338398,439,0.39,0.358,1,1338428
593517141,0.10659957,0.07363225,0.85829955,0.009838210531106359,0.165977,0.07,1,2227669,2227245,424,0.05,0.0435449,1,2227259
4288561,0.124529205,0.085900486,0.85829955,0.5435585086747877,0.0879433,0.04,1,65964,65540,424,0.0,1.96482e-13,1,65550
1269441,0.06478148,0.031257324,0.93319833,0.0873015873015873,0.819834,0.77,2,76735,76274,461,0.75,0.749978,2,76284
16460721,0.056529336,0.026885934,0.93319833,2.0823181985972683,0.757498,0.78,2,87295,86834,461,0.72,0.719987,2,86844
9968621,0.062171333,0.16268244,0.92712545,1.2615356220007383,0.762719,0.64,2,85779,85321,458,0.72,0.720016,2,85331
508181,0.056782864,0.0028564602,0.8704453,0.06570690291620525,0.00592649,0.08,1,63454,63024,430,0.05,0.05,1,63034
3283521,0.05848207,0.002669267,0.8724696,0.416389811738649,0.0698369,0.06,1,62563,62132,431,0.08,0.0799999,1,62142
596905401,0.05688913,0.055562958,0.8643725,0.010231116976895887,0.219823,0.07,1,2229979,2229552,427,0.11,0.113666,1,2229564
7156261,0.06094129,0.054271188,0.8603239,0.9060538944259875,0.127382,0.13,1,65442,65017,425,0.0,5.75933e-06,1,65027
2877281,0.056528203,0.035562128,0.8663967,0.19896640826873385,0.00987476,0.0,1,61683,61255,428,0.09,0.0899584,1,61265
1051353121,0.056527354,0.055560183,0.8825911,0.014027316352897749,0.25,0.27,1,3901931,3901495,436,0.28,0.278333,1,3901507
7732421,0.06236211,0.046711113,0.93319833,0.5359911406423035,0.786024,0.75,2,78234,77773,461,0.72,0.719997,2,77783
5123041,0.061673325,0.040771455,0.8724696,0.6489479512735327,0.144973,0.09,1,68647,68216,431,0.02,0.0439949,1,68242
4255301,0.056977592,0.0027252105,0.86842096,0.292358803986711,4.49152e-05,0.0,1,56328,55899,429,0.0,2.15504e-25,1,55909
3989861,0.056752052,0.005554879,0.9453441,0.2731635289774825,0.902831,0.74,2,75723,75256,467,0.85,0.8456,2,75268
7396481,0.033915,8.620718e-05,0.94331986,0.5125507567368033,0.695459,0.89,1,77063,76597,466,0.76,0.746,2,76619
1056022461,0.07922083,0.1908934,0.8562753,0.010151347360649687,0.2692,0.03,1,3900498,3900075,423,0.02,0.0176358,1,3900087
3199041,0.056569748,0.0001281615,0.9352227,0.4058693244739756,0.319252,0.87,1,62231,61769,462,0.81,0.776,2,61793
605596261,0.10357338,0.07696891,0.8906882,0.015322340043588848,0.313048,0.3,1,2253959,2253519,440,0.24,0.240747,1,2253536
599988101,0.057107326,0.055752702,0.86842096,0.010327826575039063,0.145896,0.1,1,2229927,2229498,429,0.14,0.141663,1,2229510
925979421,0.05761127,0.01072456,0.8643725,0.017349575489110373,0.221475,0.11,1,3421316,3420889,427,0.0,7.67967e-08,1,3420899
2818401,0.055880684,0.026926937,0.8643725,0.1925064599483204,1.05314e-10,0.02,1,41553,41126,427,0.0,0.0179584,1,41152
8514921,0.060350586,0.009151373,0.9493927,1.077888519748985,0.758547,0.84,2,80487,80018,469,0.85,0.849999,2,80028
4897381,0.06124513,0.041219544,0.9412955,0.33610188261351054,0.748782,0.73,1,78988,78523,465,0.73,0.729996,2,78533
8235761,0.12012854,0.08939605,0.85829955,1.0426356589147288,0.0800783,0.06,1,58855,58431,424,0.0,1.04916e-14,1,58452
5189401,0.056544315,0.20005083,0.9291498,0.357327427094869,0.699563,0.67,1,90749,90290,459,0.71,0.70928,2,90300
14382801,0.09722705,0.07112092,0.9372469,1.8196751568844591,0.816399,0.78,2,90668,90205,463,0.78,0.779949,2,90215
601010101,0.05689196,0.05598689,0.8724696,0.011404779603250453,0.0867841,0.18,1,2235078,2234647,431,0.14,0.140333,1,2234661
714275121,0.06059393,0.066239685,0.8866396,0.09143721840440541,0.343249,0.32,1,2625023,2624585,438,0.29,0.284007,1,2624608
14161281,0.08399881,0.042387977,0.9392713,0.9769287559985235,0.817806,0.76,2,79664,79200,464,0.77,0.769984,2,79210
3529561,0.056788508,0.17821707,0.85425097,0.24086378737541528,0.096001,0.0,1,43789,43367,422,0.01,0.0096,1,43377
596793601,0.03609554,0.0032099895,0.86842096,0.021225544481358435,0.295475,0.18,1,2201638,2201209,429,0.09,0.078,1,2201230
595923541,0.12418664,0.006262327,0.8744939,0.019748984865263934,0.0640303,0.15,1,2198959,2198527,432,0.0,0.00279972,1,2198548
704115361,0.0837758,0.02322285,0.8825911,0.0517498748464024,0.177754,0.26,1,2621360,2620924,436,0.25,0.224,1,2620936
10614881,0.1372747,0.04922771,0.9493927,0.7349575489110373,0.740228,1.0,1,88564,88095,469,0.8,0.799978,2,88105
13828501,0.056527637,0.0017803927,0.9392713,0.9547803617571059,0.714375,0.89,1,89168,88704,464,0.72,0.72,2,88714
1060636521,0.056527354,0.1555874,0.86842096,0.01716500553709856,0.279991,0.07,1,3898231,3897802,429,0.15,0.14872,1,3897812
14525281,0.09267038,0.037700363,0.9392713,1.00203026947213,0.71407,0.81,1,80729,80265,464,0.76,0.759983,2,80275
8863541,0.05656325,0.0024990581,0.86842096,0.6129568106312292,0.169728,0.19,1,71524,71095,429,0.0,1.74073e-08,1,71105
562661,0.05562292,0.026685972,0.8704453,0.0725359911406423,0.128016,0.12,1,33451,33021,430,0.13,0.129992,1,33031
6227941,0.14733714,0.015307859,0.8704453,0.429125138427464,0.00947315,0.05,1,62815,62385,430,0.0,0.00199676,1,62404
2106021,0.05562292,0.03116343,0.9412955,0.2676264304171281,0.764239,0.83,2,79144,78679,465,0.81,0.809996,2,78689
1062025541,0.034053773,0.00049844425,0.88461536,0.020671834625323,0.195533,0.07,1,3902964,3902527,437,0.2,0.1948,1,3902545
6697401,0.051121645,0.16456677,0.9251012,0.46419342930970836,0.78655,0.69,2,74507,74050,457,0.73,0.730388,2,74060
706381,0.05652707,0.088911854,0.8744939,0.09062384643779993,0.0299359,0.16,1,33894,33462,432,0.19,0.189712,1,33472
349444181,0.06607935,0.056186073,0.88461536,24.580103359173126,0.249814,0.44,1,1338651,1338214,437,0.25,0.249997,1,1338224
