Protocolo,Total_Tx,Throughput_Med,Throughput_Norm,Fluxo_ID,Fluxos
Bbr,4.08408737182617,0.00226893742879232,0.000237918904933867,Fluxo96,10
Bbr,1.48325729370117,0.000824031829833984,8.64072971325194E-05,Fluxo97,10
Bbr,1.61685943603516,0.000898255242241753,9.4190302858645E-05,Fluxo98,10
Bbr,1.38005447387695,0.000766696929931641,8.03952068799824E-05,Fluxo99,10
Bbr,1.58065032958984,0.000878139071994358,9.20809378598617E-05,Fluxo100,10
Bbr,1.66518020629883,0.00092510011461046,9.70052340048298E-05,Fluxo101,10
Bbr,1.49582290649414,0.000831012725830078,8.71393081213512E-05,Fluxo102,10
Bbr,1.64957046508789,0.000916428036159939,9.60958870205251E-05,Fluxo103,10
Bbr,3.10607528686523,0.0017255973815918,0.00018094471631313,Fluxo104,10
Bbr,1.42475509643555,0.000791530609130859,8.29992459714006E-05,Fluxo105,10
Vegas++MLP23,83.693920135498,0.0464966222974989,0.0048755974139105,Fluxo106,20
Vegas++MLP23,85.096752166748,0.0472759734259711,0.00495731952959872,Fluxo107,20
Vegas++MLP23,74.3638648986816,0.0413132582770454,0.00433207414351502,Fluxo108,20
Vegas++MLP23,77.1736831665039,0.0428742684258355,0.00449576037852437,Fluxo109,20
Vegas++MLP23,72.0548286437988,0.040030460357666,0.00419756101311432,Fluxo110,20
Vegas++MLP23,77.3361701965332,0.042964538998074,0.00450522607617746,Fluxo111,20
Vegas++MLP23,76.9631500244141,0.0427573055691189,0.00448349574996528,Fluxo112,20
Vegas++MLP23,67.0898399353027,0.0372721332973904,0.00390832511559575,Fluxo113,20
Vegas++MLP23,68.1907157897949,0.0378837309943305,0.00397245674499617,Fluxo114,20
Vegas++MLP23,69.6026268005371,0.0386681260002984,0.00405470775751299,Fluxo115,20
Vegas++MLP23,74.2433319091797,0.0412462955050998,0.00432505248255142,Fluxo116,20
Vegas++MLP23,67.8401298522949,0.0376889610290527,0.00395203332729198,Fluxo117,20
Vegas++MLP23,78.2937812805176,0.0434965451558431,0.00456101180251275,Fluxo118,20
Vegas++MLP23,68.2785606384277,0.0379325336880154,0.00397757415515125,Fluxo119,20
Vegas++MLP23,72.7085342407227,0.0403936301337348,0.00423564269590156,Fluxo120,20
Vegas++MLP23,73.2305030822754,0.0406836128234863,0.00426605004126065,Fluxo121,20
Vegas++MLP23,70.7844161987305,0.0393246756659614,0.00412355301322918,Fluxo122,20
Vegas++MLP23,74.7626762390137,0.0415348201327854,0.00435530693672644,Fluxo123,20
Vegas++MLP23,76.6704940795898,0.0425947189331055,0.00446644704958848,Fluxo124,20
Vegas++MLP23,70.6351013183594,0.0392417229546441,0.00411485466042867,Fluxo125,20
Vegas++CNN123,25.1793327331543,0.0139885181850857,0.00146682446417861,Fluxo126,20
Vegas++CNN123,29.0690040588379,0.0161494466993544,0.00169341764353694,Fluxo127,20
Vegas++CNN123,26.0541648864746,0.0144745360480415,0.00151778789590016,Fluxo128,20
Vegas++CNN123,21.8492622375488,0.0121384790208605,0.00127283088531138,Fluxo129,20
Vegas++CNN123,26.9915962219238,0.0149953312344021,0.00157239804903237,Fluxo130,20
Vegas++CNN123,31.0932731628418,0.0172740406460232,0.00181134163601527,Fluxo131,20
Vegas++CNN123,29.3586196899414,0.0163103442721897,0.00171028923014383,Fluxo132,20
Vegas++CNN123,24.6651725769043,0.0137028736538357,0.00143687201453723,Fluxo133,20
Vegas++CNN123,27.790397644043,0.0154391098022461,0.00161893230315271,Fluxo134,20
Vegas++CNN123,30.5440216064453,0.0169689008924696,0.00177934493346367,Fluxo135,20
Vegas++CNN123,31.1223106384277,0.0172901725769043,0.00181303321696457,Fluxo136,20
