#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),AckArrival(ms)
529981,800,800,800,1460,0,313800
531441,800,800,800,1460,0,314600
532901,800,800,800,1460,0,315400
534361,800,800,800,1460,0,316200
535821,800,800,800,1460,0,317000
537281,800,800,800,1460,0,317800
538741,800,800,800,1460,0,318600
540201,800,800,800,1460,0,319400
541661,800,800,800,1460,0,320200
543121,800,800,800,1460,0,321000
544581,800,800,800,1460,0,321800
546041,800,800,800,1460,0,322600
547501,800,800,800,1460,0,323400
548961,800,800,800,1460,0,324200
550421,800,800,800,1460,0,325000
551881,800,800,800,1460,0,325800
553341,800,800,800,1460,0,326600
554801,800,800,800,1460,0,327400
556261,800,800,800,1460,0,328200
557721,800,800,800,1460,0,329000
559181,800,800,800,1460,0,329800
560641,800,800,800,1460,0,330600
562101,800,800,800,1460,0,331400
563561,800,800,800,1460,0,332200
565021,800,800,800,1460,0,333000
566481,800,800,800,1460,0,333800
567941,800,800,800,1460,0,334600
569401,800,800,800,1460,0,335400
570861,800,800,800,1460,0,336200
572321,800,800,800,1460,0,337000
573781,800,800,800,1460,0,337800
575241,800,800,800,1460,0,338600
576701,800,800,800,1460,0,339400
578161,800,800,800,1460,0,340200
579621,800,800,800,1460,0,341000
581081,800,800,800,1460,0,341800
582541,800,800,800,1460,0,342600
584001,800,800,800,1460,0,343400
585461,800,800,800,1460,0,344200
586921,800,800,800,1460,0,345000
588381,800,800,800,1460,0,345800
589841,800,800,800,1460,0,346600
591301,800,800,800,1460,0,347400
592761,800,800,800,1460,0,348200
594221,800,800,800,1460,0,349000
595681,800,800,800,1460,0,349800
597141,800,800,800,1460,0,350600
598601,800,800,800,1460,0,351400
600061,800,800,800,1460,0,352200
601521,800,800,800,1460,0,353000
602981,800,800,800,1460,0,353800
604441,800,800,800,1460,0,354600
605901,800,800,800,1460,0,355400
607361,800,800,800,1460,0,356200
608821,800,800,800,1460,0,357000
610281,800,800,800,1460,0,357800
611741,800,800,800,1460,0,358600
613201,800,800,800,1460,0,359400
614661,800,800,800,1460,0,360200
616121,800,800,800,1460,0,361000
617581,800,800,800,1460,0,361800
619041,800,800,800,1460,0,362600
620501,800,800,800,1460,0,363400
621961,800,800,800,1460,0,364200
623421,800,800,800,1460,0,365000
624881,800,800,800,1460,0,365800
626341,800,800,800,1460,0,366600
627801,800,800,800,1460,0,367400
629261,800,800,800,1460,0,368200
630721,800,800,800,1460,0,369000
632181,800,800,800,1460,0,369800
633641,800,800,800,1460,0,370600
635101,800,800,800,1460,0,371400
636561,800,800,800,1460,0,372200
638021,800,800,800,1460,0,373000
639481,800,800,800,1460,0,373800
640941,800,800,800,1460,0,374600
642401,800,800,800,1460,0,375400
643861,800,800,800,1460,0,376200
645321,800,800,800,1460,0,377000
646781,800,800,800,1460,0,377800
648241,800,800,800,1460,0,378600
649701,800,800,800,1460,0,379400
651161,800,800,800,1460,0,380200
652621,800,800,800,1460,0,381000
654081,800,800,800,1460,0,381800
655541,800,800,800,1460,0,382600
657001,800,800,800,1460,0,383400
658461,800,800,800,1460,0,384200
659921,800,800,800,1460,0,385000
661381,800,800,800,1460,0,385800
662841,800,800,800,1460,0,386600
664301,800,800,800,1460,0,387400
665761,800,800,800,1460,0,388200
667221,800,800,800,1460,0,389000
668681,800,800,800,1460,0,389800
670141,800,800,800,1460,0,390600
671601,800,800,800,1460,0,391400
673061,800,800,800,1460,0,392200
674521,800,800,800,1460,0,393000
675981,800,800,800,1460,0,393800
677441,800,800,800,1460,0,394600
678901,800,800,800,1460,0,395400
680361,800,800,800,1460,0,396200
681821,800,800,800,1460,0,397000
683281,800,800,800,1460,0,397800
684741,800,800,800,1460,0,398600
686201,800,800,800,1460,0,399400
687661,800,800,800,1460,0,400200
689121,800,800,800,1460,0,401000
690581,800,800,800,1460,0,401800
692041,800,800,800,1460,0,402600
693501,800,800,800,1460,0,403400
694961,800,800,800,1460,0,404200
696421,800,800,800,1460,0,405000
697881,800,800,800,1460,0,405800
699341,800,800,800,1460,0,406600
700801,800,800,800,1460,0,407400
702261,800,800,800,1460,0,408200
703721,800,800,800,1460,0,409000
705181,800,800,800,1460,0,409800
706641,800,800,800,1460,0,410600
708101,800,800,800,1460,0,411400
709561,800,800,800,1460,0,412200
711021,800,800,800,1460,0,413000
712481,800,800,800,1460,0,413800
713941,800,800,800,1460,0,414600
715401,800,800,800,1460,0,415400
716861,800,800,800,1460,0,416200
718321,800,800,800,1460,0,417000
719781,800,800,800,1460,0,417800
721241,800,800,800,1460,0,418600
722701,800,800,800,1460,0,419400
724161,800,800,800,1460,0,420200
725621,800,800,800,1460,0,421000
727081,800,800,800,1460,0,421800
728541,800,800,800,1460,0,422600
730001,800,800,800,1460,0,423400
731461,800,800,800,1460,0,424200
732921,800,800,800,1460,0,425000
734381,800,800,800,1460,0,425800
735841,800,800,800,1460,0,426600
737301,800,800,800,1460,0,427400
738761,800,800,800,1460,0,428200
740221,800,800,800,1460,0,429000
741681,800,800,800,1460,0,429800
743141,800,800,800,1460,0,430600
744601,800,800,800,1460,0,431400
746061,800,800,800,1460,0,432200
747521,800,800,800,1460,0,433000
748981,800,800,800,1460,0,433800
750441,800,800,800,1460,0,434600
751901,800,800,800,1460,0,435400
753361,800,800,800,1460,0,436200
754821,800,800,800,1460,0,437000
756281,800,800,800,1460,0,437800
757741,800,800,800,1460,0,438600
759201,800,800,800,1460,0,439400
760661,800,800,800,1460,0,440200
762121,800,800,800,1460,0,441000
763581,800,800,800,1460,0,441800
765041,800,800,800,1460,0,442600
766501,800,800,800,1460,0,443400
767961,800,800,800,1460,0,444200
769421,800,800,800,1460,0,445000
770881,800,800,800,1460,0,445800
772341,800,800,800,1460,0,446600
773801,800,800,800,1460,0,447400
775261,800,800,800,1460,0,448200
776721,800,800,800,1460,0,449000
778181,800,800,800,1460,0,449800
779641,800,800,800,1460,0,450600
781101,800,800,800,1460,0,451400
782561,800,800,800,1460,0,452200
784021,800,800,800,1460,0,453000
785481,800,800,800,1460,0,453800
786941,800,800,800,1460,0,454600
788401,800,800,800,1460,0,455400
789861,800,800,800,1460,0,456200
791321,800,800,800,1460,0,457000
792781,800,800,800,1460,0,457800
794241,800,800,800,1460,0,458600
795701,800,800,800,1460,0,459400
797161,800,800,800,1460,0,460200
798621,800,800,800,1460,0,461000
800081,800,800,800,1460,0,461800
801541,800,800,800,1460,0,462600
803001,800,800,800,1460,0,463400
804461,800,800,800,1460,0,464200
805921,800,800,800,1460,0,465000
807381,800,800,800,1460,0,465800
808841,800,800,800,1460,0,466600
810301,800,800,800,1460,0,467400
811761,800,800,800,1460,0,468200
813221,800,800,800,1460,0,469000
814681,800,800,800,1460,0,469800
816141,800,800,800,1460,0,470600
817601,800,800,800,1460,0,471400
819061,800,800,800,1460,0,472200
820521,800,800,800,1460,0,473000
821981,800,800,800,1460,0,473800
823441,800,800,800,1460,0,474600
824901,800,800,800,1460,0,475400
826361,800,800,800,1460,0,476200
827821,800,800,800,1460,0,477000
829281,800,800,800,1460,0,477800
830741,800,800,800,1460,0,478600
832201,800,800,800,1460,0,479400
833661,800,800,800,1460,0,480200
835121,800,800,800,1460,0,481000
836581,800,800,800,1460,0,481800
838041,800,800,800,1460,0,482600
839501,800,800,800,1460,0,483400
840961,800,800,800,1460,0,484200
842421,800,800,800,1460,0,485000
843881,800,800,800,1460,0,485800
845341,800,800,800,1460,0,486600
846801,800,800,800,1460,0,487400
848261,800,800,800,1460,0,488200
849721,800,800,800,1460,0,489000
851181,800,800,800,1460,0,489800
852641,800,800,800,1460,0,490600
854101,800,800,800,1460,0,491400
855561,800,800,800,1460,0,492200
857021,800,800,800,1460,0,493000
858481,800,800,800,1460,0,493800
859941,800,800,800,1460,0,494600
861401,800,800,800,1460,0,495400
862861,800,800,800,1460,0,496200
864321,800,800,800,1460,0,497000
865781,800,800,800,1460,0,497800
867241,800,800,800,1460,0,498600
868701,800,800,800,1460,0,499400
870161,800,800,800,1460,0,500200
871621,800,800,800,1460,0,501000
873081,800,800,800,1460,0,501800
874541,800,800,800,1460,0,502600
876001,800,800,800,1460,0,503400
877461,800,800,800,1460,0,504200
878921,800,800,800,1460,0,505000
880381,800,800,800,1460,0,505800
881841,800,800,800,1460,0,506600
883301,800,800,800,1460,0,507400
884761,800,800,800,1460,0,508200
886221,800,800,800,1460,0,509000
887681,800,800,800,1460,0,509800
889141,800,800,800,1460,0,510600
890601,800,800,800,1460,0,511400
892061,800,800,800,1460,0,512200
893521,800,800,800,1460,0,513000
894981,800,800,800,1460,0,513800
896441,800,800,800,1460,0,514600
897901,800,800,800,1460,0,515400
899361,800,800,800,1460,0,516200
900821,800,800,800,1460,0,517000
902281,800,800,800,1460,0,517800
903741,800,800,800,1460,0,518600
905201,800,800,800,1460,0,519400
906661,800,800,800,1460,0,520200
908121,800,800,800,1460,0,521000
909581,800,800,800,1460,0,521800
911041,800,800,800,1460,0,522600
912501,800,800,800,1460,0,523400
913961,800,800,800,1460,0,524200
915421,800,800,800,1460,0,525000
916881,800,800,800,1460,0,525800
918341,800,800,800,1460,0,526600
919801,800,800,800,1460,0,527400
921261,800,800,800,1460,0,528200
922721,800,800,800,1460,0,529000
924181,800,800,800,1460,0,529800
925641,800,800,800,1460,0,530600
927101,800,800,800,1460,0,531400
928561,800,800,800,1460,0,532200
930021,800,800,800,1460,0,533000
931481,800,800,800,1460,0,533800
932941,800,800,800,1460,0,534600
934401,800,800,800,1460,0,535400
935861,800,800,800,1460,0,536200
937321,800,800,800,1460,0,537000
938781,800,800,800,1460,0,537800
940241,800,800,800,1460,0,538600
941701,800,800,800,1460,0,539400
943161,800,800,800,1460,0,540200
944621,800,800,800,1460,0,541000
946081,800,800,800,1460,0,541800
947541,800,800,800,1460,0,542600
949001,800,800,800,1460,0,543400
950461,800,800,800,1460,0,544200
951921,800,800,800,1460,0,545000
953381,800,800,800,1460,0,545800
954841,800,800,800,1460,0,546600
956301,800,800,800,1460,0,547400
957761,800,800,800,1460,0,548200
959221,800,800,800,1460,0,549000
960681,800,800,800,1460,0,549800
962141,800,800,800,1460,0,550600
963601,800,800,800,1460,0,551400
965061,800,800,800,1460,0,552200
966521,800,800,800,1460,0,553000
967981,800,800,800,1460,0,553800
969441,800,800,800,1460,0,554600
970901,800,800,800,1460,0,555400
972361,800,800,800,1460,0,556200
973821,800,800,800,1460,0,557000
975281,800,800,800,1460,0,557800
976741,800,800,800,1460,0,558600
978201,800,800,800,1460,0,559400
979661,800,800,800,1460,0,560200
981121,800,800,800,1460,0,561000
982581,800,800,800,1460,0,561800
984041,800,800,800,1460,0,562600
985501,800,800,800,1460,0,563400
986961,800,800,800,1460,0,564200
988421,800,800,800,1460,0,565000
989881,800,800,800,1460,0,565800
991341,800,800,800,1460,0,566600
992801,800,800,800,1460,0,567400
994261,800,800,800,1460,0,568200
995721,800,800,800,1460,0,569000
997181,800,800,800,1460,0,569800
998641,800,800,800,1460,0,570600
1000101,800,800,800,1460,0,571400
1001561,800,800,800,1460,0,572200
1003021,800,800,800,1460,0,573000
1004481,800,800,800,1460,0,573800
1005941,800,800,800,1460,0,574600
1007401,800,800,800,1460,0,575400
1008861,800,800,800,1460,0,576200
1010321,800,800,800,1460,0,577000
1011781,800,800,800,1460,0,577800
1013241,800,800,800,1460,0,578600
1014701,800,800,800,1460,0,579400
1016161,800,800,800,1460,0,580200
1017621,800,800,800,1460,0,581000
1019081,800,800,800,1460,0,581800
1020541,800,800,800,1460,0,582600
1022001,800,800,800,1460,0,583400
1023461,800,800,800,1460,0,584200
