#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
49595681,0.19363101,0.19356382,0.89271253,0.007567368032484312,0.677962,0.47,1,423887,423446,441,0.39,0.391667,1,423475
7004821,0.05049857,0.016504014,0.94331986,0.8868586194167589,0.841755,0.72,2,75156,74690,466,0.74,0.740397,2,74707
53639521,0.19834071,0.43518877,0.88866395,0.008490217792543374,0.147537,0.21,1,340691,340252,439,0.22,0.218205,1,340270
1097441,0.03164619,0.0015113738,0.8663967,0.14008859357696568,0.0642463,0.18,1,35204,34776,428,0.0,2.77626e-25,1,34786
4168541,0.05092664,0.09652561,0.9392713,0.5284237726098191,0.805173,0.87,2,75837,75373,464,0.84,0.839869,2,75383
1651341,0.050215926,0.097774684,0.94331986,0.2102251753414544,0.800186,0.85,2,77541,77075,466,0.73,0.73,2,77085
14274221,0.076971814,0.31588295,0.92712545,1.8058324104835732,0.784762,0.73,2,79410,78952,458,0.7,0.700062,2,78962
19489601,0.06452186,0.19609535,0.8562753,0.008305647840531562,0.0265794,0.03,1,223497,223074,423,0.02,0.0183051,1,223086
46552761,0.373043,0.03602145,0.91093117,0.010520487264673311,0.0651539,0.07,1,417165,416715,450,0.06,0.0567334,1,416752
41599881,0.3788284,0.14899378,0.9372469,0.006459948320413436,0.213489,0.32,1,418268,417805,463,0.34,0.335999,1,417841
33435681,0.06804246,0.09676806,0.86842096,0.008305647840531562,0.00584908,0.21,1,323323,322894,429,0.09,0.103987,1,322909
7699341,0.029017681,0.05197555,0.9352227,0.9747139165743817,0.768911,0.86,2,77651,77189,462,0.8,0.799967,2,77199
1763641,0.03154556,0.05038075,0.93319833,0.22425249169435216,0.799893,0.68,2,77808,77347,461,0.76,0.75824,2,77357
15269681,0.11500623,0.10551897,0.9493927,0.011443337024732374,0.526815,0.79,1,115143,114674,469,0.84,0.838268,2,114691
51904561,0.2855144,0.2762256,0.8562753,0.008305647840531562,0.109996,0.03,1,452966,452543,423,0.03,0.0315138,1,452567
207321,0.031545244,0.00524776,0.92712545,0.02768549280177187,0.0100141,0.0,1,32177,31719,458,0.0,0.139974,1,31904
26194521,0.115531616,0.12791145,0.85425097,0.009782207456626061,0.067568,0.07,1,222971,222549,422,0.07,0.0598267,1,222591
3852161,0.031686567,0.004252312,0.93319833,0.4883720930232558,0.789984,0.77,2,74589,74128,461,0.72,0.714,2,74149
62522721,0.32247284,0.29618177,0.89271253,0.009966777408637873,0.717987,0.43,1,443373,442932,441,0.39,0.391346,1,442968
13030161,0.03225375,0.0045363363,0.94331986,1.6487633813215208,0.797692,0.92,2,75133,74667,466,0.72,0.735999,2,74687
631281,0.03235927,0.0012371837,0.9412955,0.0812107788851975,0.633879,0.75,1,73994,73529,465,0.74,0.74,2,73548
42440861,0.17176858,0.1996974,0.9068826,0.007936507936507936,0.570628,0.37,1,341284,340836,448,0.34,0.339068,1,340857
4242381,0.07455277,0.17919177,0.86234814,0.5376522702104097,0.0705357,0.09,1,55654,55228,426,0.0,0.000143949,1,55238
4259021,0.031548873,0.031504694,0.85829955,0.010151347360649687,0.207907,0.03,1,126118,125694,424,0.04,0.0383333,1,125706
2195881,0.032478034,0.005567853,0.86234814,0.27906976744186046,1.01745e-05,0.18,1,69053,68627,426,0.0,1.70184e-13,1,68637
9919521,0.03158562,0.0002023234,0.9453441,1.2554448135843486,0.792092,0.78,2,74785,74318,467,0.77,0.762,2,74335
8005141,0.05039195,0.03688182,0.8603239,0.006275378368401624,0.481593,0.09,1,180411,179986,425,0.06,0.0576128,1,179998
9227521,0.072466835,0.048530128,0.95141697,1.1679586563307494,0.336909,0.85,1,62287,61817,470,0.85,0.84999,2,61827
6481721,0.05122553,0.02039355,0.9352227,0.8207825765965301,0.874926,0.82,2,73282,72820,462,0.72,0.719998,2,72830
545401,0.0314443,0.0071550445,0.8906882,0.019933554817275746,0.998558,0.48,2,94523,94083,440,0.3,0.300002,1,94093
10800201,0.02953944,0.06347776,0.9412955,1.3667404946474715,0.785293,0.8,2,78030,77565,465,0.84,0.8392,2,77575
7017321,0.07291841,0.043471966,0.9392713,0.8885197489848653,0.915687,0.79,2,75291,74827,464,0.71,0.710001,2,74837
43024281,0.33255628,0.29010016,0.9089068,0.009413067552602437,0.197122,0.11,1,442442,441993,449,0.08,0.0807398,1,442028
7205761,0.39250484,0.38087127,0.9352227,0.912329272794389,0.769818,0.85,2,75981,75519,462,0.75,0.750006,2,75529
9300521,0.03158562,0.12620834,0.9291498,1.1771871539313399,0.639768,0.93,1,72476,72017,459,0.73,0.73016,2,72027
2373081,0.13933454,0.17145552,0.9473683,0.011627906976744186,0.0104056,0.94,1,96730,96262,468,0.88,0.889273,2,96278
45599601,0.10144288,0.095913194,0.88866395,0.012181616832779624,0.719439,0.39,1,458294,457855,439,0.36,0.359654,1,457865
39202321,0.48222268,0.46898177,0.8906882,0.009228497600590625,0.792207,0.37,2,354616,354176,440,0.37,0.371507,1,354188
3634801,0.018931247,7.621975e-05,0.9412955,0.46105574012550754,0.830387,0.92,2,73945,73480,465,0.74,0.72,2,73509
181041,0.031545244,0.02623888,0.9291498,0.024363233665559248,0.254394,0.53,1,52200,51741,459,0.74,0.739359,2,51751
10225701,0.12744278,0.10531132,0.9493927,1.294204503506829,0.801193,0.81,2,75765,75296,469,0.79,0.7868,2,75312
33726521,0.22714469,0.23642023,0.9149797,0.010705057216685123,0.0418545,0.37,1,194744,194292,452,0.36,0.3583,1,194316
9994421,0.113578334,0.42482182,0.93319833,1.2648578811369509,0.667081,0.68,1,75124,74663,461,0.74,0.739998,2,74673
6547421,0.21349505,0.13819167,0.8704453,0.007936507936507936,0.750398,0.11,2,126767,126337,430,0.18,0.180373,1,126349
9674501,0.031544454,4.2721636e-05,0.95141697,1.224437061646364,0.770459,0.78,2,73861,73391,470,0.8,0.7964,2,73409
12715941,0.46117252,0.45014492,0.8603239,0.013289036544850499,0.0696796,0.07,1,125365,124940,425,0.07,0.0715126,1,124952
30137561,0.046201795,0.11017268,0.8562753,0.012550756736803248,0.124939,0.0,1,288152,287729,423,0.08,0.071655,1,287741
15240481,0.15728617,0.34388396,0.9412955,0.011443337024732374,0.877103,0.75,2,114995,114530,465,0.74,0.739133,2,114548
24468541,0.22240658,0.22923183,0.88461536,0.009413067552602437,0.171426,0.05,1,259351,258914,437,0.06,0.0583334,1,258938
4459521,0.045242816,0.07108854,0.8663967,0.5651531930601698,0.0896756,0.1,1,66475,66047,428,0.0,0.013993,1,66106
13453661,0.032251857,0.07960692,0.9352227,1.7021040974529347,0.760878,0.74,2,76566,76104,462,0.77,0.770016,2,76114
19533881,0.19881074,0.11446006,0.8805668,0.004614248800295312,0.346896,0.07,1,265595,265160,435,0.02,0.0199378,1,265184
4396721,0.4181685,0.39693257,0.85829955,0.5572166851236618,0.00166612,0.0,1,46291,45867,424,0.0,1.70393e-11,1,45877
8041081,0.100815125,0.055623583,0.9352227,1.0179032853451457,0.807184,0.7,2,78851,78389,462,0.77,0.768401,2,78399
7778021,0.09993896,0.026504941,0.88461536,0.012919896640826873,0.249997,0.19,1,150430,149993,437,0.22,0.217593,1,150009
59974221,0.44614753,0.33552268,0.8805668,0.007751937984496124,0.582013,0.01,1,436724,436289,435,0.28,0.2776,1,436299
5102241,0.09605163,0.45241195,0.9352227,0.6465485418973791,0.573565,0.81,1,79167,78705,462,0.72,0.729984,2,78735
18088321,0.066157945,0.06606989,0.8562753,0.0103359173126615,0.327651,0.05,1,260606,260183,423,0.05,0.0476667,1,260244
2495801,0.056781437,0.07627312,0.9372469,0.316906607604282,0.871875,0.82,2,80560,80097,463,0.73,0.72984,2,80107
2456901,0.031545244,0.0,0.9412955,0.3119232188999631,0.97,0.69,2,80528,80063,465,0.78,0.776,2,80078
17054441,0.3620069,0.43105143,0.8603239,0.00904392764857881,0.0942104,0.07,1,217068,216643,425,0.01,0.024426,1,216670
56484081,0.18240248,0.19914797,0.86842096,0.008859357696566999,0.190389,0.07,1,442459,442030,429,0.12,0.11999,1,442040
4686041,0.044159397,0.11353326,0.85425097,0.5937615356220007,0.001024,0.04,1,47175,46753,422,0.0,0.000239999,1,46763
26801741,0.31247142,0.13652429,0.902834,0.007382798080472499,0.542138,0.25,1,288465,288019,446,0.18,0.17999,1,288046
