#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Input_1,Input_2,Input_3,NetworkPrevision CPP
1724121,41.04,41.04,600,87600,0,0,1,66457,65857,600,0.0459453,0.0492097,0.688508,1
1727041,2.052,2.052,600,91980,0,0,1,66457,65857,600,0.00229727,0.00246049,0.688508,1
1728501,0.1026,0.1026,600,96360,0,0,1,66457,65857,600,0.000114863,0.000123024,0.688508,1
1740181,570.005,570.005,600,68240,0,0,1,67057,66457,600,0.638135,0.683474,0.688508,1
1744561,28.5003,28.5003,600,69700,0,0,1,67057,66457,600,0.0319068,0.0341737,0.688508,1
1769381,1.42501,1.42501,600,72270,0,0,1,67057,66457,600,0.00159534,0.00170869,0.688508,1
1848221,1520.07,1520.07,600,1460,0,0,1,68657,68057,600,1.70176,1.82267,0.688508,2
1863901,646.004,646.004,600,96360,0,0,1,69257,68657,600,0.723217,0.774601,0.688508,1
1872661,32.3002,32.3002,600,100740,0,0,1,69257,68657,600,0.0361609,0.0387301,0.688508,1
1875581,1.61501,1.61501,600,105120,0,0,1,69257,68657,600,0.00180804,0.0019365,0.688508,1
1877041,0.0807505,0.0807505,600,109500,0,0,1,69257,68657,600,9.04022e-05,9.68252e-05,0.688508,1
1878501,570.004,570.004,600,76460,0,0,1,69857,69257,600,0.638134,0.683473,0.688508,1
1894561,28.5002,28.5002,600,82125,0,0,1,69857,69257,600,0.0319067,0.0341736,0.688508,1
1896021,1.42501,1.42501,600,82125,0,0,1,69857,69257,600,0.00159534,0.00170868,0.688508,1
1908841,0.0712506,0.0712506,600,82125,0,0,1,69857,69257,600,7.97668e-05,8.54342e-05,0.688508,1
1911761,8.55356,8.55356,600,80840,0,0,1,69866,69266,600,0.00957593,0.0102563,0.688508,1
1935121,0.427678,0.427678,600,82125,0,0,1,69866,69266,600,0.000478796,0.000512815,0.688508,1
1936581,0.0213839,0.0213839,600,66780,0,0,1,69866,69266,600,2.39398e-05,2.56407e-05,0.688508,1
1961401,3411.45,3411.45,600,1460,0,0,1,73457,72857,600,3.8192,4.09056,0.688508,2
1986421,740.573,740.573,600,109500,0,0,1,74057,73457,600,0.829089,0.887996,0.688508,1
2014501,37.0286,37.0286,600,113880,0,0,1,74057,73457,600,0.0414545,0.0443998,0.688508,1
2015961,571.851,571.851,600,56600,0,0,1,74657,74057,600,0.640202,0.685688,0.688508,1
2017421,28.5926,28.5926,600,59420,0,0,1,74657,74057,600,0.0320101,0.0342844,0.688508,1
2021801,1.42963,1.42963,600,60420,0,0,1,74657,74057,600,0.00160051,0.00171422,0.688508,1
2037861,0.0714815,0.0714815,600,59420,0,0,1,74657,74057,600,8.00253e-05,8.57111e-05,0.688508,1
2039321,0.00357407,0.00357407,600,53120,0,0,1,74657,74057,600,4.00127e-06,4.28555e-06,0.688508,1
2043701,0.000178704,0.000178704,600,52120,0,0,1,74657,74057,600,2.00063e-07,2.14278e-07,0.688508,1
2053921,8.93519e-06,8.93519e-06,600,53120,0,0,1,74657,74057,600,1.00032e-08,1.07139e-08,0.688508,1
2059761,4.4676e-07,4.4676e-07,600,44820,0,0,1,74657,74057,600,5.00159e-10,5.35695e-10,0.688508,1
2061221,2.2338e-08,2.2338e-08,600,42900,0,0,1,74657,74057,600,2.50079e-11,2.67847e-11,0.688508,1
2110421,1520,1520,600,1460,0,0,1,76257,75657,600,1.70168,1.82258,0.688508,2
2117721,646,646,600,118260,0,0,1,76857,76257,600,0.723213,0.774597,0.688508,1
2126481,32.3,32.3,600,122640,0,0,1,76857,76257,600,0.0361607,0.0387299,0.688508,1
2129401,1.615,1.615,600,127020,0,0,1,76857,76257,600,0.00180803,0.00193649,0.688508,1
2132321,0.0807501,0.0807501,600,131400,0,0,1,76857,76257,600,9.04017e-05,9.68247e-05,0.688508,1
2133781,0.0040375,0.0040375,600,135780,0,0,1,76857,76257,600,4.52009e-06,4.84124e-06,0.688508,1
2155681,570,570,600,90320,0,0,1,77457,76857,600,0.638129,0.683468,0.688508,1
2164441,28.5,28.5,600,81140,0,0,1,77457,76857,600,0.0319065,0.0341734,0.688508,1
2177581,1.425,1.425,600,75720,0,0,1,77457,76857,600,0.00159532,0.00170867,0.688508,1
2303501,1520.07,1520.07,600,1460,0,0,1,79057,78457,600,1.70176,1.82267,0.688508,2
2306421,646.004,646.004,600,135780,0,0,1,79657,79057,600,0.723217,0.774601,0.688508,1
2309221,37.0502,32.3002,605,140160,0,0,1,79662,79057,605,0.0414786,0.0387301,0.694245,1
2320901,571.853,576.365,600,96920,0,0,1,80262,79662,600,0.640203,0.6911,0.688508,1
2354481,28.5926,28.8183,600,105400,0,0,1,80262,79662,600,0.0320102,0.034555,0.688508,1
2373461,1.42963,1.44091,600,79920,0,0,1,80262,79662,600,0.00160051,0.00172775,0.688508,1
2385141,0.0714816,0.0720457,600,65980,0,0,1,80262,79662,600,8.00254e-05,8.63876e-05,0.688508,1
2401201,0.00357408,0.00360228,600,57220,0,0,1,80262,79662,600,4.00127e-06,4.31938e-06,0.688508,1
2415801,0.000178704,0.000180114,600,44080,0,0,1,80262,79662,600,2.00064e-07,2.15969e-07,0.688508,1
2417261,8.93521e-06,9.00572e-06,600,32400,0,0,1,80262,79662,600,1.00032e-08,1.07985e-08,0.688508,1
2418721,4.46761e-07,4.50286e-07,600,32400,0,0,1,80262,79662,600,5.0016e-10,5.39923e-10,0.688508,1
2444221,1520,1520,600,1460,0,0,1,81862,81262,600,1.70168,1.82258,0.688508,2
2448601,646,646,600,144540,0,0,1,82462,81862,600,0.723213,0.774597,0.688508,1
2451521,32.3,32.3,600,148920,0,0,1,82462,81862,600,0.0361607,0.0387299,0.688508,1
2452981,1.615,1.615,600,153300,0,0,1,82462,81862,600,0.00180803,0.00193649,0.688508,1
2565101,1520.08,1520.08,600,1460,0,0,1,84062,83462,600,1.70177,1.82268,0.688508,2
2583361,646.004,646.004,600,153300,0,0,1,84662,84062,600,0.723218,0.774602,0.688508,1
2586281,46.5502,46.5502,600,157680,0,0,1,84677,84077,600,0.0521141,0.0558168,0.688508,1
2589201,2.32751,2.32751,600,162060,0,0,1,84677,84077,600,0.00260571,0.00279084,0.688508,1
2592121,0.116376,0.116376,600,166440,0,0,1,84677,84077,600,0.000130285,0.000139542,0.688508,1
2595041,0.00581878,0.00581878,600,170820,0,0,1,84677,84077,600,6.51427e-06,6.97711e-06,0.688508,1
2597961,0.000290939,0.000290939,600,175200,0,0,1,84677,84077,600,3.25714e-07,3.48855e-07,0.688508,1
2600881,1.4547e-05,1.4547e-05,600,179580,0,0,1,84677,84077,600,1.62857e-08,1.74428e-08,0.688508,1
2603801,7.27348e-07,7.27348e-07,600,183960,0,0,1,84677,84077,600,8.14284e-10,8.72139e-10,0.688508,1
2606721,3.63674e-08,3.63674e-08,600,188340,0,0,1,84677,84077,600,4.07142e-11,4.3607e-11,0.688508,1
2609641,1.81837e-09,1.81837e-09,600,192720,0,0,1,84677,84077,600,2.03571e-12,2.18035e-12,0.688508,1
2621321,570,570,600,90260,0,0,1,85277,84677,600,0.638129,0.683468,0.688508,1
2685561,1548.5,1548.5,600,1460,0,0,1,86877,86277,600,1.73358,1.85675,0.688508,2
2751841,647.425,647.425,600,197100,0,0,1,87477,86877,600,0.724809,0.776306,0.688508,1
2868881,1552.37,1552.37,600,1460,0,0,1,89077,88477,600,1.73792,1.8614,0.688508,2
2882881,647.619,647.619,600,201480,0,0,1,89677,89077,600,0.725025,0.776538,0.688508,1
2885801,47.5809,47.5809,600,205860,0,0,1,89693,89093,600,0.053268,0.0570527,0.688508,1
2888721,2.37905,2.37905,600,210240,0,0,1,89693,89093,600,0.0026634,0.00285264,0.688508,1
2891641,0.118952,0.118952,600,214620,0,0,1,89693,89093,600,0.00013317,0.000142632,0.688508,1
2894561,0.00594762,0.00594762,600,219000,0,0,1,89693,89093,600,6.65851e-06,7.13159e-06,0.688508,1
2897481,0.000297381,0.000297381,600,223380,0,0,1,89693,89093,600,3.32926e-07,3.5658e-07,0.688508,1
2900401,1.48691e-05,1.48691e-05,600,227760,0,0,1,89693,89093,600,1.66463e-08,1.7829e-08,0.688508,1
