#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),rtt_ratio_real,ack_ewma,send_ack_ewma_norm,rtt_ratio_norm,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
10345561,1508.33,1438.69,1512,1460,2.34782608695652,0.815723579961819,0.769571054897912,0.818181818181818,0.731015,0,2,10823770,10822258,1512
10347021,1534.62,1508.33,1536,1460,2.38509316770186,0.829941538178652,0.806822254435749,0.831168831168831,0.766406,0,2,10825306,10823770,1536
10348481,1581.53,1534.62,1584,1460,2.45962732919255,0.855311048256691,0.82088506368115,0.857142857142857,0.792562,0,2,10826890,10825306,1584
10361621,945.111,1118.23,936,1460,1.45341614906832,0.511127756115236,0.59815348735203,0.506493506493507,0.295505,0,1,10840786,10839850,936
10370381,1127.82,1124.34,1128,1460,1.75155279503106,0.609939050441573,0.601421793342498,0.61038961038961,0.465384,0,1,10847074,10845946,1128
10379141,1439.87,1437.41,1440,1460,2.2360248447205,0.778699562482762,0.768886368863903,0.779220779220779,0.71323,0,2,10855186,10853746,1440
10380601,1531.19,1439.87,1536,1460,2.38509316770186,0.82808655161784,0.770202249835515,0.831168831168831,0.747292,0,2,10856722,10855186,1536
10382061,1558.56,1531.19,1560,1460,2.42236024844721,0.842888587235746,0.81905031907439,0.844155844155844,0.784917,0,2,10858282,10856722,1560
10387901,1724.39,1655.87,1728,1460,2.6832298136646,0.932571508920701,0.885743018074641,0.935064935064935,0.910734,0,2,10864930,10863202,1728
10390821,1820.33,1750.62,1824,1460,2.83229813664596,0.984457051382587,0.936425831920277,0.987012987012987,0.941317,0,2,10868506,10866682,1824
10396661,1725.44,1676.77,1728,1460,2.6832298136646,0.933139361949521,0.896922657223705,0.935064935064935,0.927122,0,2,10875274,10873546,1728
10414181,1507.13,1414.62,1512,1460,2.34782608695652,0.815074605071739,0.756695747992747,0.818181818181818,0.738175,0,2,10893370,10891858,1512
