#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,rtt_ratio,ack_ewma_norm,send_ewma_norm,rtt_ratio_norm,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
6666361,1679.7,1673.94,1680,2.60869565217391,0.908402602389309,0.895408859195387,0.90909090909091,1460,0.910635,0,2,6994162,6992482,1680
6667821,1771.18,1679.7,1776,2.75776397515528,0.957876121509732,0.89848994634843,0.961038961038962,1460,0.934254,0,2,6995938,6994162,1776
6669281,1775.76,1771.18,1776,2.75776397515528,0.960353042340204,0.947423601341557,0.961038961038962,1460,0.943702,0,2,6997714,6995938,1776
6688261,1557.48,1509.53,1560,2.42236024844721,0.842304509834674,0.807464147592633,0.844155844155845,1460,0.771831,0,2,7016386,7014826,1560
6692641,1747.02,1652.33,1752,2.72049689440994,0.94481009372279,0.883849433261834,0.94805194805195,1460,0.900197,0,2,7021378,7019626,1752
6716001,1579.13,1486.62,1584,2.45962732919255,0.854013098476532,0.795209337405789,0.857142857142858,1460,0.761883,0,2,7044226,7042642,1584
6721841,1678.85,1656.9,1680,2.60869565217391,0.907942911842169,0.886293976367634,0.90909090909091,1460,0.925312,0,2,7050802,7049122,1680
6723301,1793.94,1678.85,1800,2.79503105590062,0.970185011924914,0.898035272028971,0.974025974025976,1460,0.940125,0,2,7052602,7050802,1800
6743741,1490.21,1532.28,1488,2.31055900621118,0.805924059121613,0.819633372025226,0.805194805194806,1460,0.758944,0,2,7072282,7070794,1488
6748121,1703.69,1697.77,1704,2.64596273291925,0.921376692066823,0.908155787469176,0.922077922077923,1460,0.905612,0,2,7077274,7075570,1704
6749581,1749.58,1703.69,1752,2.72049689440994,0.946194573488294,0.91132246037647,0.94805194805195,1460,0.944245,0,2,7079026,7077274,1752
6756881,1632.37,1639.32,1632,2.53416149068323,0.882805951099742,0.876890241619282,0.883116883116884,1460,0.910005,0,2,7087690,7086058,1632
6780241,1557.47,1509.48,1560,2.42236024844721,0.84229910171059,0.80743740204443,0.844155844155845,1460,0.771525,0,2,7112074,7110514,1560
6784621,1702.56,1675.13,1704,2.64596273291925,0.920765574045331,0.89604540324263,0.922077922077923,1460,0.904498,0,2,7117042,7115338,1704
