#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
358447241,0.1744988222518729,0.14874187404822647,0.8906882348215602,25.24953857511997,0.324113,0.33,1,1338437,1337997,440,0.36,0.359041,1,1338007
11308761,0.06968565057250843,0.07869963499340075,0.9372469380054147,0.7816537467700259,0.733934,0.88,1,80257,79794,463,0.83,0.82944,2,79804
4655041,0.15577750899628598,0.1279822915593042,0.9453441037765196,0.5898855666297527,0.700813,0.85,1,77528,77061,467,0.72,0.735965,2,77185
706550901,0.060742731828850115,0.043892939158380107,0.896761109149889,0.01159010806191437,0.352676,0.41,1,2626738,2626295,443,0.37,0.379632,1,2626313
602763561,0.050210879181179134,0.0429201608945832,0.8603238631799162,0.013046440833952781,0.029359,0.12,1,2243169,2242744,425,0.08,0.0816441,1,2242760
4758841,0.07950663116286502,0.09590312176737813,0.9352226465626384,0.6029900332225914,0.727987,0.89,1,77797,77335,462,0.81,0.809914,2,77345
14394861,0.04919117919215374,0.1803646456872561,0.9331983551198622,0.9929863418235512,0.651458,0.84,1,80264,79803,461,0.75,0.750127,2,79813
917833921,0.03675809473199828,0.02354252493416221,0.8643724460654688,0.024363233665559248,0.279597,0.05,1,3421169,3420742,427,0.06,0.0599808,1,3420752
6855681,0.031751233718599635,0.0021361291264489764,0.941295520890967,0.8682170542635659,0.680028,0.75,1,85311,84846,465,0.72,0.722,2,84923
11008001,0.05641740579651547,0.053058056395020384,0.9291497722343095,0.7626430417128092,0.78328,0.83,2,89964,89505,459,0.73,0.73,2,89515
1881381,0.03906073976522052,0.04050608387612364,0.9392712294481907,0.12938353636028055,0.769155,0.89,2,78825,78361,464,0.76,0.759994,2,78371
11123841,0.03404299564289029,0.008870654627058513,0.9352226465626384,0.7689184200812108,0.866644,0.88,2,79431,78969,462,0.83,0.804001,2,79120
701776001,0.04677292084231037,0.03789490079094232,0.8623481546226925,0.051184787390585414,0.137389,0.23,1,2613523,2613097,426,0.05,0.0499936,1,2613107
344772301,0.03580527065872645,0.02339768661037306,0.8704453203937976,24.250276854928018,0.0295659,0.17,1,1322977,1322547,430,0.07,0.0699999,1,1322557
1442081,0.031444298501485425,0.02418343451692919,0.8582995717371399,0.09819121447028424,0.00990904,0.18,1,36885,36461,424,0.01,0.0100361,1,36471
8145501,0.07234838455777166,0.140885339580429,0.9372469380054147,1.0311923218899963,0.754314,0.81,2,79221,78758,463,0.72,0.719888,2,78768
347352101,0.034190942833873396,0.018746487221213717,0.8825910690504551,24.489664082687337,0.0709647,0.27,1,1321499,1321063,436,0.1,0.104362,1,1321084
3814941,0.03914843554153887,0.10100536658877216,0.9291497722343095,0.262827611664821,0.669936,0.69,1,85653,85194,459,0.73,0.729824,2,85204
4128621,0.03154618963727976,0.0040595190931846095,0.9493926866620721,0.28294573643410853,0.838462,0.94,2,76200,75731,469,0.84,0.84,2,75741
15712321,0.03154713599457816,0.10076953201373286,0.9392712294481907,1.9878183831672205,0.799516,0.84,2,84533,84069,464,0.69,0.70504,2,84085
14305001,0.04182142173086809,0.11111492415629406,0.9311740636770858,1.8097083794758213,0.662161,0.87,1,90485,90025,460,0.73,0.730381,2,90035
659381,0.03346319407140423,0.018238765923148496,0.9311740636770858,0.04540420819490587,0.74882,0.72,1,74436,73976,460,0.72,0.719999,2,73986
1049329641,0.03616535961076743,0.09388971163374833,0.8704453203937976,0.01864156515319306,0.461129,0.26,1,3904308,3903878,430,0.16,0.160159,1,3903888
8157761,0.03154887098295856,0.002626186446330347,0.9392712294481907,0.5653377630121816,0.824763,0.83,2,90658,90194,464,0.73,0.737999,2,90216
8197101,0.031545401006197765,0.005044529898023266,0.9372469380054147,0.5677371723883352,0.796956,0.9,2,79877,79414,463,0.72,0.72,2,79424
9777061,0.03457358663485958,0.03527301226443746,0.9392712294481907,0.6770025839793282,0.800979,0.8,2,85480,85016,464,0.74,0.739996,2,85026
6064261,0.03268071431184429,0.021296271451745286,0.941295520890967,0.7679955703211517,0.784691,0.84,2,82489,82024,465,0.78,0.78,2,82034
12921181,0.029020835186500855,0.07560009486431299,0.9352226465626384,0.8914728682170543,0.58721,0.81,1,75050,74588,462,0.81,0.80984,2,74598
598221261,0.0331691924040348,0.007426537822400385,0.8704453203937976,0.014299746658778197,0.127011,0.01,1,2249019,2248589,430,0.16,0.157187,1,2248601
4852641,0.019104745687655113,0.0014106575775332288,0.9311740636770858,0.3344407530454042,0.774024,0.78,2,89395,88935,460,0.83,0.8,2,88957
3822001,0.0196337594174604,0.06801151129552546,0.9372469380054147,0.26153562200073827,0.752848,0.82,2,74956,74493,463,0.78,0.783967,2,74620
14166061,0.054253875286157945,0.1432164494286311,0.9291497722343095,1.792174234034699,0.836028,0.73,2,90004,89545,459,0.72,0.71992,2,89555
1046309681,0.022541126764359883,0.018541037207578024,0.9028339834782179,0.04706533776301218,0.244353,0.42,1,3891104,3890658,446,0.38,0.389993,1,3890678
8142181,0.04427248713372264,0.08096194663780298,0.9372469380054147,0.5640457733480989,0.835463,0.8,2,79688,79225,463,0.7,0.700004,2,79235
1602241,0.061727732050267534,0.04382980854116331,0.9372469380054147,0.11000369139904023,0.748162,0.83,1,77741,77278,463,0.77,0.769998,2,77288
12548261,0.031605967873295324,0.001009989118373859,0.9493926866620721,1.587670727205611,0.905693,0.9,2,84127,83658,469,0.76,0.76,2,83668
3997761,0.19883597744237855,0.17919177013048526,0.8684210289510214,0.5068290882244371,0.165172,0.19,1,44808,44379,429,0.0,0.0259648,1,44399
5693801,0.09453494278766456,0.041312298067563015,0.9392712294481907,0.39128829826504247,0.837662,0.72,2,81796,81332,464,0.87,0.868879,2,81342
9934081,0.06637292684946118,0.02771827678218761,0.9392712294481907,1.2572905131044665,0.668022,0.76,1,85607,85143,464,0.75,0.749981,2,85173
607812401,0.03356697792179537,0.007559883540062786,0.8643724460654688,0.07681535925403399,3.15452e-05,0.07,1,2241883,2241456,427,0.12,0.103999,1,2241474
14677741,0.031696187269076075,0.06388928665411778,0.9392712294481907,1.0125507567368033,0.739949,0.72,1,81514,81050,464,0.81,0.80984,2,81060
611860921,0.1477396232823303,0.1632721491505302,0.8785424861649027,43.119601328903656,0.356665,0.27,1,2253999,2253565,434,0.24,0.239907,1,2253575
6273721,0.031472531494221,0.00462353841797483,0.9331983551198622,0.7945736434108527,0.679885,0.79,1,83298,82837,461,0.71,0.71,2,82847
3043901,0.03265547811722031,0.007866311054653219,0.8643724460654688,0.3861203396087117,0.0493621,0.0,1,41651,41224,427,0.0,1.21854e-07,1,41234
8687141,0.038442610723149286,0.05443417790397793,0.8603238631799162,0.5998523440383905,0.0493157,0.0,1,60956,60531,425,0.0,5.7467e-06,1,60541
599666261,0.03578523942924366,0.05257064394887777,0.8765181947221264,0.012956684213453886,0.031656,0.2,1,2243262,2242829,433,0.22,0.217949,1,2242841
642983241,0.07264995708352828,0.0385432097228594,0.8927125262643365,0.014211886304909561,0.222113,0.37,1,2419519,2419078,441,0.37,0.365136,1,2419090
1819201,0.03225501125378094,0.001156737103975575,0.8663967375082451,0.1242155777039498,0.00587254,0.06,1,68230,67802,428,0.0,7.37279e-11,1,67812
703706821,0.03256478554279036,0.03149493607498965,0.8785424861649027,0.008306659182734365,0.132792,0.18,1,2610690,2610256,434,0.26,0.259663,1,2610268
1854561,0.03156148908027055,0.0011407025569343525,0.8663967375082451,0.12661498708010335,0.000357915,0.18,1,68272,67844,428,0.01,0.01,1,67854
701251421,0.086318037818095,0.19174232575273625,0.8765181947221264,0.05176630915719797,0.125725,0.27,1,2621386,2620953,433,0.14,0.13994,1,2620963
353025921,0.06687717756329169,0.07154430693229555,0.9028339834782179,24.83517903285345,0.547376,0.54,1,1351071,1350625,446,0.36,0.374065,1,1350669
7053721,0.03155076369755536,0.0035393920778209265,0.8643724460654688,0.4859726836471023,0.0960008,0.0,1,55416,54989,427,0.03,0.0299991,1,54999
11642601,0.2939969355829343,0.3277030048913736,0.9291497722343095,1.4732373569582873,0.839184,0.76,2,80873,80414,459,0.76,0.75936,2,80424
10726781,0.08201747480173514,0.2911958756484762,0.9352226465626384,0.7414174972314507,0.778554,0.76,2,78023,77561,462,0.8,0.799936,2,77571
601243561,0.18509329220745463,0.18273558607450022,0.8704453203937976,0.07586077863236194,0.242154,0.16,1,2220140,2219710,430,0.14,0.139517,1,2219720
705263181,0.039294805470357984,0.015959766384918375,0.8765181947221264,0.010241609652249984,0.258803,0.04,1,2620148,2619715,433,0.21,0.207588,1,2619727
1048136061,0.031545243279981365,0.03148659212807571,0.8765181947221264,0.01347360649686231,0.21,0.21,1,3899592,3899159,433,0.22,0.218333,1,3899171
3491501,0.046686802328156016,0.10076669822044135,0.9291497722343095,0.2382798080472499,0.53399,0.56,1,73882,73423,459,0.71,0.709648,2,73433
6153061,0.15043973838088032,0.020519339790985018,0.8765181947221264,0.4230343300110742,0.000114177,0.02,1,52430,51997,433,0.0,4.71641e-15,1,52019
656180741,0.03507831052733928,0.03779193963468352,0.8765181947221264,0.027870062753783682,0.22096,0.21,1,2421165,2420732,433,0.2,0.199993,1,2420742
4337861,0.03157142583190375,0.015285055945501906,0.9453441037765196,0.2973421926910299,0.755132,0.89,2,76814,76347,467,0.82,0.819997,2,76357
14024401,0.024703553191202605,0.12669874063120323,0.9311740636770858,0.9677002583979328,0.774018,0.75,2,79184,78724,460,0.7,0.70192,2,78744
710141541,0.08323480573990963,0.00960652777168377,0.8866396519360077,50.041343669250644,0.21704,0.14,1,2609864,2609426,438,0.15,0.1484,1,2609446
6506241,0.032063058448422256,0.005108195787306234,0.9493926866620721,0.8239202657807309,0.83981,0.88,2,84206,83737,469,0.72,0.744,2,83761
344016641,0.03371397875548009,0.0029587635756831462,0.8724696118365739,24.197120708748617,0.217875,0.12,1,1320449,1320018,431,0.04,0.0400001,1,1320028
13901701,0.0375877346302618,0.03589943801482552,0.9392712294481907,0.9592100406053894,0.7882,0.88,2,78729,78265,464,0.71,0.710003,2,78275
8888681,0.1432095686211086,0.1668852355972269,0.9453441037765196,1.1251384274640088,0.781199,0.91,2,81856,81389,467,0.92,0.91952,2,81399
10357381,0.03661992656643197,0.055573835106053626,0.9372469380054147,0.7170542635658915,0.737967,0.9,1,87628,87165,463,0.71,0.710006,2,87175
701770161,0.033693158894915295,0.0027734334944172928,0.8724696118365739,0.051183523212831906,0.154722,0.23,1,2613513,2613082,431,0.04,0.046,1,2613107
13960781,0.031545558732414165,0.004534431362252375,0.9392712294481907,1.7663344407530455,0.72757,0.69,1,78382,77918,464,0.74,0.74,2,77928
349575021,0.036415197937544885,0.028842033255238632,0.8643724460654688,24.632152085640456,0.151621,0.17,1,1318916,1318489,427,0.0,2.84573e-07,1,1318499
712422261,0.08898361087525343,0.03587377644224114,0.888663943378784,0.0912561881501034,0.229312,0.18,1,2618798,2618359,439,0.2,0.1972,1,2618378
