x,y,z
24.0752,23.6253,0.380955
24.0658,20.6721,0.382086
24.0576,21.0881,0.385575
24.0504,21.4521,0.388628
24.0441,21.7706,0.3913
24.0386,22.0492,0.393637
24.0338,22.2931,0.395683
24.0295,22.5065,0.397472
24.0259,22.6931,0.399038
24.0226,22.8565,0.400408
24.0198,22.9994,0.401607
24.0173,23.1245,0.402656
24.0152,23.2339,0.406074
24.0133,23.3297,0.409065
24.0116,23.4135,0.411682
24.0102,23.4868,0.413972
24.0089,23.551,0.415975
24.0078,23.6071,0.417728
24.0068,23.6562,0.419262
24.006,23.6992,0.419355
24.0052,23.7368,0.414435
24.0046,23.7697,0.405131
24.004,20.7985,0.391989
24.0035,21.1987,0.375491
24.0031,21.5488,0.356054
24.0027,21.8552,0.334048
24.0023,22.1233,0.309792
24.002,22.3579,0.283568
24.0018,22.5632,0.255622
24.0016,22.7428,0.226169
24.0014,22.8999,0.197898
24.0012,23.0374,0.173161
24.001,23.1578,0.151516
24.0009,23.263,0.132576
24.0008,23.3552,0.116004
24.0007,23.4358,0.101504
24.0006,23.5063,0.0888157
24.0005,23.568,0.0777137
24.0005,23.622,0.0679995
22.6254,23.6693,0.0594996
804.047,835.836,0.110812
706.541,731.356,0.158211
621.224,639.937,0.202184
546.571,559.945,0.243161
481.249,489.951,0.281516
424.093,428.708,0.317577
374.082,375.119,0.351629
330.321,328.229,0.383926
292.031,287.201,0.414685
258.527,251.3,0.444099
229.211,219.888,0.472337
203.56,192.402,0.499545
181.115,168.352,0.525852
161.476,147.308,0.55137
144.291,128.894,0.576199
129.255,112.782,0.600424
116.098,98.6847,0.617871
104.586,86.3491,0.628137
94.5125,75.5555,0.63212
85.6984,66.111,0.630605
77.9861,57.8471,0.624279
71.2378,50.6163,0.613744
65.3331,75.0392,0.599526
60.1665,65.6593,0.639586
55.6457,60.4519,0.677137
51.69,55.8954,0.712495
48.2287,48.9085,0.745933
11.2418,0.87713,0.998728
11.3366,0.767489,0.997637
10.4618,0.514157,0.995917
10.6541,0.449888,0.985177
9.57231,0.393652,0.97828
9.87577,0.344445,0.969745
9.2663,0.30139,0.964777
9.60802,0.263716,0.95918
9.90701,0.230751,0.954282
8.91864,0.201907,0.952497
9.30381,0.176669,0.949685
9.64083,0.154585,0.947224
8.68573,0.135262,0.947571
9.10001,0.118354,0.946625
9.46251,0.10356,0.945797
8.5297,0.0906151,0.947572
8.96348,0.0792882,0.947876
9.34305,0.0693772,0.948141
8.42517,0.0607051,0.950874
8.87202,0.0531169,0.950764
9.26302,0.0464773,0.951919
9.60514,0.0406677,0.952929
9.9045,0.0355842,0.955063
10.1664,0.0311362,0.95818
9.89563,0.0272441,0.962157
10.1587,0.0238386,0.961888
10.3888,0.0208588,0.962902
10.5902,0.0182515,0.957539
9.89146,0.01597,0.955347
10.155,0.0139738,0.942178
10.3856,0.012227,0.929406
9.33744,0.0106987,0.92073
9.67026,0.00936133,0.910639
9.96148,0.00819117,0.900559
8.96629,0.00716727,0.894239
9.34551,0.00627136,0.887459
9.67732,0.00548744,0.879027
8.71765,0.00480151,0.874149
9.12795,0.00420132,0.86738
9.48695,0.00367616,0.862707
8.55108,0.00321664,0.861119
8.9822,0.00281456,0.857229
8.48442,0.00246274,0.856326
8.92387,0.0021549,0.850535
9.30839,0.00188553,0.844218
8.39484,0.00164984,0.841191
8.84548,0.00144361,0.832292
7.9898,0.00126316,0.827005
8.49107,0.00110527,0.81988
8.92969,0.000967107,0.814895
8.06348,0.000846219,0.813033
8.55554,0.000740441,0.807654
8.9861,0.000647886,0.801697
9.36284,0.0005669,0.795235
9.69248,0.000496038,0.784581
8.73092,0.000434033,0.777758
9.13956,0.000379779,0.770538
8.62211,0.000332307,0.765471
9.04435,0.000290768,0.759787
8.16381,0.000254422,0.756064
8.64333,0.000222619,0.750306
9.06291,0.000194792,0.745268
8.18005,0.000170443,0.743359
8.65754,0.000149138,0.739189
7.82535,0.000130495,0.738041
8.34718,0.000114184,0.734535
8.80378,0.0000999106,0.731469
7.95331,0.0000874218,0.730035
8.45915,0.000076494,0.726281
8.02675,0.0000669323,0.724246
8.52341,0.0000585657,0.719965
8.95798,0.000051245,0.714969
9.33824,0.0000448394,0.710598
9.67096,0.0000392345,0.704273
9.96209,0.0000343302,0.696239
10.2168,0.0000300389,0.686709
10.4397,0.000026284,0.675871
10.6348,0.0000229985,0.663887
10.8054,0.0000201237,0.650901
10.9547,0.0000176082,0.635788
11.0854,0.0000154072,0.618815
11.1997,0.0000134813,0.601463
11.2998,0.0000117962,0.58378
11.3873,0.0000103216,0.565808
11.4639,0.00000903143,0.547582
11.5309,0.0000079025,0.529134
11.5895,0.00000691469,0.510492
11.6408,0.00000605035,0.491681
11.6857,0.00000529406,0.472721
11.725,0.0000046323,0.45363
11.7594,0.00000405326,0.434427
11.7895,0.0000035466,0.415123
11.8158,0.00000310328,0.395733
11.8388,0.00000271537,0.378766
11.859,0.00000237595,0.361421
11.8766,0.00000207895,0.343743
11.892,0.00000181909,0.327025
11.9055,0.0000015917,0.309897
10.6673,0.00000139274,0.29491
10.8339,0.00000121865,0.278046
9.72967,0.00000106631,0.26329
10.0135,0.000000933025,0.247879
10.2618,0.000000816397,0.231894
10.4791,0.000000714347,0.215407
10.6692,0.000000625054,0.198481
10.8355,0.000000546922,0.181171
10.9811,0.000000478557,0.161025
11.1085,0.000000418737,0.142147
11.2199,0.000000366395,0.124378
11.3174,0.000000320596,0.108831
11.4027,0.000000280521,0.0952272
11.4774,0.000000245456,0.0833238
11.5427,0.000000214774,0.0729083
11.5999,0.000000187927,0.0637948
11.6499,0.000000164436,0.0558205
11.6937,0.000000143882,0.0488429
10.9819,0.000000125897,0.0427375
