#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
451641,132.037,116.257,438,26441,,0.00673074,0,1,11834,11396,438
454561,122.282,132.475,246,26441,,0.00605766,0,1,11888,11642,246
457481,109.997,118.915,246,26441,,0.0064519,0,1,11912,11666,246
460401,99.2475,107.051,246,26441,,0.00680671,0,1,11936,11690,246
463321,89.8416,96.6696,246,26441,,0.00712604,0,1,11960,11714,246
466241,81.6114,87.5859,246,26441,,0.00741343,0,1,11984,11738,246
469161,74.4099,79.6377,246,26441,,0.00767209,0,1,12008,11762,246
472081,68.1087,72.683,246,26441,,0.00790488,0,1,12032,11786,246
475001,62.5951,66.5976,246,26441,,0.00811439,0,1,12056,11810,246
477921,57.7707,61.2729,246,26441,,0.00830295,0,1,12080,11834,246
480841,57.2994,60.3638,246,26441,,0.00747266,0,1,12134,11888,246
483761,53.137,55.8183,246,26441,,0.00772539,0,1,12158,11912,246
486681,49.4948,51.841,246,26441,,0.00795285,0,1,12182,11936,246
489601,46.308,48.3609,246,26441,,0.00815757,0,1,12206,11960,246
492521,43.5195,45.3158,246,26441,,0.00834181,0,1,12230,11984,246
495441,41.0796,42.6513,246,26441,,0.00850763,0,1,12254,12008,246
498361,38.9446,40.3199,246,26441,,0.00865687,0,1,12278,12032,246
501281,37.0765,38.2799,246,26441,,0.00879118,0,1,12302,12056,246
504201,35.442,36.4949,246,26441,,0.00891206,0,1,12326,12080,246
507121,37.7617,38.6831,246,26441,,0.00802086,0,1,12380,12134,246
510041,36.0415,36.8477,246,26441,,0.00821877,0,1,12404,12158,246
512961,34.5363,35.2417,246,26441,,0.00839689,0,1,12428,12182,246
515881,33.2193,33.8365,246,26441,,0.0085572,0,1,12452,12206,246
518801,32.0669,32.6069,246,26441,,0.00870148,0,1,12476,12230,246
521721,31.0585,31.5311,246,26441,,0.00883134,0,1,12500,12254,246
524641,30.1762,30.5897,246,26441,,0.0089482,0,1,12524,12278,246
527561,29.4042,29.766,246,26441,,0.00905338,0,1,12548,12302,246
530481,28.7286,29.0452,246,26441,,0.00914804,0,1,12572,12326,246
