#Ack,ack_ewma(ms),ack_ewma_norm,send_ewma(ms),send_ewma_norm,rtt_ratio,rtt_ratio_norm,cwnd (Bytes),cwnd_norm,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
1782821,11.9384,0.00372057654850019,0.245327,7.50758938954378E-05,1488,0.547058823529412,76620,0.366989175208353,0.615484,0,2,74888,73400,1488
1782821,11.9461,0.00372297623685236,0.214661,6.56913689055366E-05,1500,0.551470588235294,76620,0.366989175208353,0.617299,0,2,74900,73400,1500
1782821,11.9529,0.00372509544215037,0.187828,5.747983303343E-05,1512,0.555882352941177,75440,0.361337292844142,0.618887,0,2,74912,73400,1512
1782821,11.9587,0.00372690299961044,0.16435,5.02950069161372E-05,1524,0.560294117647059,75440,0.361337292844142,0.620276,0,2,74924,73400,1524
1782821,11.9639,0.00372852356836774,0.143806,4.40080545456771E-05,1536,0.564705882352941,75440,0.361337292844142,0.621491,0,2,74936,73400,1536
1782821,11.4684,0.00357410206466693,0.12583,3.85069712215245E-05,1544,0.567647058823529,75440,0.361337292844142,0.622555,0,2,74944,73400,1544
1782821,11.5349,0.00359482664589014,0.110102,3.36938293366629E-05,1556,0.572058823529412,75440,0.361337292844142,0.620986,0,2,74956,73400,1556
1782821,11.593,0.00361293338527464,0.0963389,2.94819935612598E-05,1568,0.576470588235294,75440,0.361337292844142,0.619612,0,2,74968,73400,1568
1782821,10.3939,0.00323923646279704,0.0842965,2.57967328902109E-05,1570,0.577205882352941,74420,0.356451767410672,0.620911,0,2,74970,73400,1570
1782821,10.5946,0.00330178418387222,0.0737595,2.25721604054203E-05,1582,0.581617647058824,74420,0.356451767410672,0.619547,0,2,74982,73400,1582
1782821,10.7703,0.00335654070899883,0.0645395,1.9750621228257E-05,1594,0.586029411764706,74420,0.356451767410672,0.618354,0,2,74994,73400,1594
1782821,10.924,0.00340444098169069,0.0564721,1.72818050506163E-05,1606,0.590441176470588,74220,0.355493821247246,0.617309,0,2,75006,73400,1606
1782821,9.93352,0.00309576003116478,0.0494131,1.51215832445864E-05,1609,0.591544117647059,74220,0.355493821247246,0.618896,0,2,75009,73400,1609
1782821,10.1918,0.00317625243474873,0.0432364,1.32313662125274E-05,1621,0.595955882352941,74220,0.355493821247246,0.617784,0,2,75021,73400,1621
1782821,10.4179,0.00324671601090767,0.0378319,1.15774607371501E-05,1633,0.600367647058824,72760,0.348500814254239,0.616811,0,2,75033,73400,1633
1782821,10.6156,0.00330832878846903,0.0331029,1.01302743197092E-05,1645,0.604779411764706,72360,0.346584921927388,0.615959,0,2,75045,73400,1645
1782821,10.0387,0.00312853915075964,0.028965,8.86397855385407E-06,1651,0.606985294117647,72360,0.346584921927388,0.613964,0,2,75051,73400,1651
1800341,10.2838,0.0032049240358395,129.775,0.0397142350017749,625,0.229779411764706,71720,0.343519494204426,0.609719,0,2,75063,74438,625
1800341,10.4984,0.0032718036618621,113.553,0.0347499173735816,637,0.234191176470588,67500,0.323306830156145,0.603504,0,2,75075,74438,637
1800341,10.6861,0.00333029996104402,99.3592,0.0304062771596098,649,0.238602941176471,67500,0.323306830156145,0.595566,0,2,75087,74438,649
1800341,10.8503,0.00338147253603428,86.9393,0.0266054925146585,661,0.243014705882353,67500,0.323306830156145,0.58612,0,2,75099,74438,661
1800341,10.994,0.00342625633034671,76.0719,0.0232798097756234,673,0.247426470588235,67500,0.323306830156145,0.575355,0,2,75111,74438,673
1800341,11.1198,0.00346546162835995,66.5629,0.0203698297283733,685,0.251838235294118,67500,0.323306830156145,0.563436,0,2,75123,74438,685
1800341,11.2298,0.0034997428905337,58.2426,0.0178236201388124,697,0.25625,67500,0.323306830156145,0.550506,0,2,75135,74438,697
1800341,11.3261,0.00352975457732762,50.9622,0.0155956446696779,709,0.260661764705882,67500,0.323306830156145,0.536693,0,2,75147,74438,709
1813481,11.4103,0.00355599532528243,56.592,0.0173184973008703,625,0.229779411764706,67500,0.323306830156145,0.522106,0,2,75159,74534,625
1813481,11.484,0.00357896377093884,49.518,0.0151536851382615,637,0.234191176470588,57280,0.274355781205096,0.506843,0,2,75171,74534,637
1813481,11.5485,0.00359906505648617,43.3282,0.0132594591947903,649,0.238602941176471,57280,0.274355781205096,0.490988,0,2,75183,74534,649
1813481,11.605,0.00361667315932996,37.9122,0.0116020344460358,661,0.243014705882353,57280,0.274355781205096,0.474614,0,2,75195,74534,661
1813481,11.6543,0.00363203739774055,33.1732,0.0101517877908756,673,0.247426470588235,57280,0.274355781205096,0.457787,0,2,75207,74534,673
1813481,11.6975,0.0036455005843397,29.0265,0.00888279901582755,685,0.251838235294118,57280,0.274355781205096,0.440564,0,2,75219,74534,685
1813481,11.7354,0.00365731203739774,25.3982,0.00777245296414626,697,0.25625,57280,0.274355781205096,0.422994,0,2,75231,74534,697
1813481,11.7684,0.00366759641604986,22.2234,0.00680088869303368,709,0.260661764705882,57280,0.274355781205096,0.405119,0,1,75243,74534,709
1859321,11.7974,0.00367663420335021,31.4455,0.009623070520118,625,0.229779411764706,57280,0.274355781205096,0.386979,0,1,75255,74630,625
1859321,11.8227,0.00368451889365018,27.5148,0.00842018287980611,637,0.234191176470588,8120,0.03889261423508,0.368607,0,1,75267,74630,637
1859321,11.8449,0.00369143747565251,24.0755,0.00736767532101894,649,0.238602941176471,8120,0.03889261423508,0.350031,0,1,75279,74630,649
1859321,11.8643,0.00369748344370861,21.066,0.00644669677940583,661,0.243014705882353,8120,0.03889261423508,0.331277,0,1,75291,74630,661
1859321,11.8812,0.00370275029216985,18.4328,0.00564087498316869,673,0.247426470588235,8120,0.03889261423508,0.312368,0,1,75303,74630,673
1859321,11.8961,0.0037073938449552,16.1287,0.00493576561027261,685,0.251838235294118,8120,0.03889261423508,0.293322,0,1,75315,74630,685
1859321,11.9091,0.00371144526684846,14.1126,0.00431879108369138,697,0.25625,8120,0.03889261423508,0.274156,0,1,75327,74630,697
1859321,11.9204,0.00371496688741722,12.3485,0.00377893454763566,709,0.260661764705882,8120,0.03889261423508,0.254887,0,1,75339,74630,709
1859321,11.9304,0.00371808336579665,10.805,0.00330658685566695,721,0.265073529411765,8120,0.03889261423508,0.235526,0,1,75351,74630,721
1859321,11.9391,0.00372079470198676,9.45434,0.00289325278787656,733,0.269485294117647,8120,0.03889261423508,0.216085,0,1,75363,74630,733
1859321,11.9467,0.00372316322555512,8.27254,0.0025315938942137,745,0.273897058823529,8120,0.03889261423508,0.196575,0,1,75375,74630,745
1859321,11.9534,0.00372525126606934,7.23848,0.00221514695261528,757,0.278308823529412,8120,0.03889261423508,0.177003,0,1,75387,74630,757
1859321,11.9592,0.00372705882352941,6.33367,0.00193825358353837,769,0.282720588235294,8120,0.03889261423508,0.157377,0,1,75399,74630,769
1859321,11.9643,0.00372864822750292,5.54196,0.00169597150306636,781,0.287132352941176,8120,0.03889261423508,0.137705,0,1,75411,74630,781
1859321,11.9688,0.00373005064277367,4.84921,0.0014839735350642,793,0.291544117647059,8120,0.03889261423508,0.120492,0,1,75423,74630,793
1859321,11.9727,0.00373126606934164,4.24306,0.00129847722571089,805,0.295955882352941,8120,0.03889261423508,0.105431,0,1,75435,74630,805
1859321,11.9761,0.00373232567199065,3.71268,0.00113616833755646,817,0.300367647058824,8120,0.03889261423508,0.0922518,0,1,75447,74630,817
1859321,11.9791,0.00373326061550448,3.24859,0.000994145765243044,829,0.304779411764706,8120,0.03889261423508,0.0807203,0,1,75459,74630,829
1859321,11.9817,0.00373407089988313,2.84252,0.000869878692176808,841,0.309191176470588,8120,0.03889261423508,0.0706303,0,1,75471,74630,841
1859321,11.984,0.0037347876899104,2.4872,0.000761142325535848,853,0.313602941176471,8120,0.03889261423508,0.0618015,0,1,75483,74630,853
1859321,11.986,0.00373541098558629,2.1763,0.000665999534843867,865,0.318014705882353,8120,0.03889261423508,0.0540763,0,1,75495,74630,865
1859321,11.9877,0.00373594078691079,1.90427,0.000582751888166673,877,0.322426470588235,8120,0.03889261423508,0.0473168,0,1,75507,74630,877
1859321,11.9893,0.0037364394234515,1.66623,0.000509905989497264,889,0.326838235294118,8120,0.03889261423508,0.0414022,0,1,75519,74630,889
1859321,11.9906,0.00373684456564083,1.45795,0.000446167358280391,901,0.33125,8120,0.03889261423508,0.0362269,0,1,75531,74630,901
1859321,11.9918,0.00373721854304636,1.27571,0.000390397586084487,913,0.335661764705882,8120,0.03889261423508,0.0316985,0,1,75543,74630,913
1859321,11.9928,0.0037375301908843,1.11625,0.000341599035413071,925,0.340073529411765,8120,0.03889261423508,0.0277362,0,1,75555,74630,925
1859321,11.9937,0.00373781067393845,0.976715,0.000298898008397292,937,0.344485294117647,8120,0.03889261423508,0.0242692,0,1,75567,74630,937
1859321,11.9945,0.0037380599922088,0.854626,0.000261535872106545,949,0.348897058823529,8120,0.03889261423508,0.0212355,0,1,75579,74630,949
1867841,11.9952,0.00373827814569536,46.2478,0.0141529261993072,597,0.219485294117647,8120,0.03889261423508,0.0185811,0,1,75591,74994,597
1867841,11.9958,0.00373846513439813,40.4668,0.0123838027737995,609,0.223897058823529,112420,0.538461538461538,0.0162585,0,1,75603,74994,609
1867841,11.9963,0.0037386209583171,35.4085,0.0108358427282631,621,0.228308823529412,112420,0.538461538461538,0.0142262,0,1,75615,74994,621
1867841,11.9968,0.00373877678223607,30.9824,0.00948135091133879,633,0.232720588235294,112420,0.538461538461538,0.0124479,0,1,75627,74994,633
1867841,11.2472,0.00350516556291391,27.1096,0.00829618204742144,639,0.234926470588235,112420,0.538461538461538,0.0108919,0,1,75633,74994,639
1949601,35.8555,0.0111742890533697,14.2201,0.00435168863917349,894,0.328676470588235,137240,0.657342657342657,0.975228,0,2,79884,78990,894
1962741,12.5616,0.00391479548110635,0.226544,6.93278493873404E-05,1326,0.4875,110269,0.528158827473896,0.992105,0,2,80316,78990,1326
1962741,12.4914,0.00389291780288274,0.198226,6.06618682139229E-05,1338,0.491911764705882,109902,0.52640099626401,0.984342,0,2,80328,78990,1338
1962741,12.43,0.00387378262563303,0.173448,5.30792111931255E-05,1350,0.496323529411765,109534,0.524638375323307,0.978799,0,2,80340,78990,1350
1962741,12.3762,0.0038570159719517,0.151767,4.64443097939848E-05,1362,0.500735294117647,109166,0.522875754382604,0.9752,0,2,80352,78990,1362
1962741,12.3292,0.00384236852356837,0.132796,4.06387328167652E-05,1374,0.505147058823529,108798,0.521113133441901,0.96955,0,2,80364,78990,1374
1962741,12.288,0.00382952863264511,0.116196,3.55587382027836E-05,1386,0.509558823529412,108430,0.519350512501198,0.963356,0,2,80376,78990,1386
1962741,12.252,0.00381830931047916,0.101672,3.11140489393216E-05,1398,0.513970588235294,108062,0.517587891560494,0.959186,0,2,80388,78990,1398
1962741,12.2205,0.00380849240358395,0.0889628,2.7224731617152E-05,1410,0.518382352941177,105960,0.507519877382891,0.954288,0,2,80400,78990,1410
1962741,12.193,0.00379992208804051,0.0778425,2.38216554661966E-05,1422,0.522794117647059,104500,0.500526870389884,0.947502,0,2,80412,78990,1422
1962741,12.1688,0.00379238021036229,0.0681122,2.08439523582192E-05,1434,0.527205882352941,103040,0.493533863396877,0.940314,0,2,80424,78990,1434
1962741,12.1477,0.00378580444098169,0.0595981,1.82384353616589E-05,1446,0.531617647058824,101580,0.48654085640387,0.929025,0,2,80436,78990,1446
1962741,12.1293,0.00378007012076354,0.0521484,1.59586500679373E-05,1458,0.536029411764706,100120,0.479547849410863,0.917897,0,2,80448,78990,1458
1962741,12.1131,0.00377502142578886,0.0456298,1.39638035082565E-05,1470,0.540441176470588,98660,0.472554842417856,0.90691,0,2,80460,78990,1470
1962741,12.099,0.00377062719127386,0.0399261,1.22183357203188E-05,1482,0.544852941176471,97820,0.468531468531469,0.894796,0,2,80472,78990,1482
1962741,10.7116,0.00333824698091157,0.0349353,1.06910322793875E-05,1483,0.545220588235294,97200,0.465561835424849,0.884197,0,2,80473,78990,1483
1962741,10.8727,0.00338845344760421,0.0305684,9.35465706976118E-06,1495,0.549632352941177,97200,0.465561835424849,0.873672,0,2,80485,78990,1495
1962741,11.0136,0.00343236462797039,0.0267474,8.18534023722963E-06,1507,0.554044117647059,97200,0.465561835424849,0.865713,0,2,80497,78990,1507
1962741,9.88688,0.00308122477600312,0.0234039,7.16214975579303E-06,1509,0.554779411764706,97020,0.464699683877766,0.861249,0,2,80499,78990,1509
1962741,10.151,0.00316353720296065,0.0204785,6.26690781339895E-06,1521,0.559191176470588,97020,0.464699683877766,0.856093,0,2,80511,78990,1521
1962741,10.3821,0.00323555901830931,0.0179186,5.48351755964403E-06,1533,0.563602941176471,97020,0.464699683877766,0.851581,0,2,80523,78990,1533
1962741,10.5844,0.0032986053759252,0.0156788,4.79808551528283E-06,1545,0.568014705882353,96820,0.46374173771434,0.848884,0,2,80535,78990,1545
1962741,9.51133,0.00296418543046358,0.013719,4.19834012706107E-06,1547,0.56875,96820,0.46374173771434,0.846523,0,2,80537,78990,1547
1962741,9.82241,0.00306113283989092,0.0120041,3.67353996058414E-06,1559,0.573161764705882,96620,0.462783791550915,0.839458,0,2,80549,78990,1559
1962741,9.21961,0.00287327152317881,0.0105036,3.21435129080827E-06,1564,0.575,94960,0.454832838394482,0.834525,0,2,80554,78990,1564
1962741,9.56716,0.00298158472925594,0.00919063,2.8125512589818E-06,1576,0.579411764705882,90380,0.432895871252036,0.82896,0,2,80566,78990,1576
1962741,9.87126,0.00307635683677444,0.0080418,2.46098196907936E-06,1588,0.583823529411765,89760,0.429926238145416,0.82534,0,2,80578,78990,1588
1962741,8.88735,0.00276972341254383,0.00703658,2.1533607530633E-06,1590,0.584558823529412,89760,0.429926238145416,0.823422,0,2,80580,78990,1590
1962741,9.27644,0.00289098246980912,0.00615701,1.88419142398982E-06,1602,0.588970588235294,89760,0.429926238145416,0.819245,0,2,80592,78990,1602
1962741,9.61688,0.00299707985975847,0.00538738,1.64866634840194E-06,1614,0.593382352941177,89560,0.428968291981991,0.814339,0,2,80604,78990,1614
1962741,9.91477,0.00308991663420335,0.00471396,1.44258381991113E-06,1626,0.597794117647059,88300,0.422933231152409,0.808797,0,2,80616,78990,1626
1962741,10.1754,0.00317114141020647,0.00412471,1.26225931230338E-06,1638,0.602205882352941,88300,0.422933231152409,0.800197,0,2,80628,78990,1638
1962741,9.1535,0.00285266848461239,0.00360912,1.10447651573574E-06,1640,0.602941176470588,88100,0.421975284988984,0.795172,0,2,80630,78990,1640
1962741,9.50931,0.00296355590183093,0.00315798,9.66416951268775E-07,1652,0.607352941176471,88100,0.421975284988984,0.788276,0,2,80642,78990,1652
1962741,9.82065,0.00306058433969614,0.00276324,8.45617127538467E-07,1664,0.611764705882353,86640,0.414982277995977,0.780991,0,2,80654,78990,1664
1962741,8.84307,0.0027559236462797,0.00241783,7.39913456477299E-07,1666,0.6125,86440,0.414024331832551,0.777117,0,2,80656,78990,1666
1962741,8.36268,0.00260621114141021,0.0021156,6.47423891887922E-07,1671,0.614338235294118,86440,0.414024331832551,0.772478,0,2,80661,78990,1671
1962741,8.81735,0.00274790806388781,0.00185115,5.66495905401932E-07,1683,0.61875,86440,0.414024331832551,0.767168,0,2,80673,78990,1683
1962741,9.21518,0.00287189092325672,0.00161976,4.95685064815835E-07,1695,0.623161764705882,85820,0.411054698725932,0.760022,0,2,80685,78990,1695
1962741,8.31328,0.00259081573821582,0.00141729,4.33724431713856E-07,1697,0.623897058823529,82900,0.397068684739918,0.755019,0,2,80687,78990,1697
1962741,8.77412,0.00273443552785353,0.00124013,3.79509260279339E-07,1709,0.628308823529412,82900,0.397068684739918,0.749392,0,2,80699,78990,1709
1962741,9.17736,0.00286010440202571,0.00108511,3.32069455155277E-07,1721,0.632720588235294,82900,0.397068684739918,0.739468,0,2,80711,78990,1721
1962741,9.53019,0.00297006310868718,0.000949472,2.90561002778696E-07,1733,0.637132352941176,82700,0.396110738576492,0.727034,0,2,80723,78990,1733
1962741,9.83891,0.00306627502921699,0.000830788,2.54240877431359E-07,1745,0.641544117647059,82700,0.396110738576492,0.711155,0,2,80735,78990,1745
1962741,8.85905,0.00276090377873004,0.00072694,2.22460920764325E-07,1747,0.642279411764706,82500,0.395152792413066,0.696011,0,2,80737,78990,1747
1962741,9.25167,0.00288326295286326,0.000636072,1.94653152656898E-07,1759,0.646691176470588,82500,0.395152792413066,0.677759,0,2,80749,78990,1759
1962741,9.59521,0.00299032645111025,0.000556563,1.70321508574786E-07,1771,0.651102941176471,81040,0.388159785420059,0.663039,0,2,80761,78990,1771
1962741,8.64581,0.00269444799376704,0.000486993,1.49031434761852E-07,1773,0.651838235294118,80840,0.387201839256634,0.65266,0,2,80763,78990,1773
1962741,9.06508,0.00282511258278146,0.000426119,1.30402543669592E-07,1785,0.65625,80840,0.387201839256634,0.641077,0,2,80775,78990,1785
1962741,9.43195,0.00293944682508765,0.000372854,1.14102187457922E-07,1797,0.660661764705882,80840,0.387201839256634,0.629692,0,2,80787,78990,1797
1962741,8.50295,0.00264992598363849,0.000326247,9.98393375197385E-08,1799,0.661397058823529,80640,0.386243893093208,0.622231,0,2,80789,78990,1799
